name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
科比·布莱恩特,SG,3,1,97,96,94,79,85,62,78,46,54,88,67,51,98,35,95,86,87,98,85,92,1,kobe-bryant-2000-01-los-angeles-lakers
沙奎尔·奥尼尔,C,2,1,97,98,35,26,52,97,45,96,97,64,74,95,78,99,79,80,81,98,97,98,1,shaquille-oneal-2000-01-los-angeles-lakers
霍雷斯·格兰特,PF,3,1,80,73,78,45,77,90,41,72,64,38,58,57,52,80,62,64,80,70,95,57,0,horace-grant-2000-01-los-angeles-lakers
里克·福克斯,SF,5,1,79,63,77,84,77,78,83,45,54,69,62,47,77,55,75,78,81,30,80,50,0,rick-fox-2000-01-los-angeles-lakers
德里克·费舍尔,PG,5,1,77,65,86,88,81,47,77,40,55,79,58,30,73,25,25,73,78,60,60,50,0,derek-fisher-2000-01-los-angeles-lakers
罗伯特·霍里,PF,4,2,76,74,60,84,71,70,50,58,62,50,63,63,57,88,67,66,80,75,67,49,1,robert-horry-2000-01-los-angeles-lakers
伊塞亚·莱德尔,SG,1,2,75,81,80,84,85,49,73,46,51,62,59,35,79,55,94,78,93,65,45,57,0,isaiah-rider-2000-01-los-angeles-lakers
罗恩·哈珀,PG,1,2,73,74,70,70,70,44,82,47,54,68,63,55,70,40,60,74,84,73,85,45,0,ron-harper-2000-01-los-angeles-lakers
马克·麦德森,C,3,2,73,66,70,30,70,68,41,86,60,40,55,47,55,60,65,71,75,55,70,53,0,mark-madsen-2000-01-los-angeles-lakers
布莱恩·肖,SF,1,2,72,75,69,70,79,50,62,40,65,78,61,50,70,25,48,67,80,50,50,42,0,brian-shaw-2000-01-los-angeles-lakers
泰伦·卢,PG,1,3,72,82,79,76,75,54,72,31,41,76,67,25,77,25,30,68,74,50,50,49,0,tyronn-lue-2000-01-los-angeles-lakers
德文·乔治,SF,4,3,71,72,60,70,65,39,63,58,61,47,60,57,75,35,77,79,93,30,35,66,0,devean-george-2000-01-los-angeles-lakers
格雷格·福斯特,PF,2,3,69,66,50,48,77,68,28,63,64,39,55,55,48,71,40,52,82,70,70,54,0,greg-foster-2000-01-los-angeles-lakers
