name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
凯文·加内特,PF,3,1,93,92,91,69,80,95,59,70,86,59,71,71,72,80,50,73,85,85,96,74,0,kevin-garnett-2007-08-boston-celtics
保罗·皮尔斯,SF,1,1,92,92,81,92,84,69,91,36,61,74,64,50,89,45,70,78,86,98,90,77,1,paul-pierce-2007-08-boston-celtics
雷·阿伦,SG,1,1,88,85,86,97,90,45,84,42,45,73,60,37,85,25,66,78,82,98,80,66,1,ray-allen-2007-08-boston-celtics
拉简·隆多,PG,3,1,85,75,70,75,61,36,92,46,54,90,85,37,97,25,30,81,79,50,80,61,0,rajon-rondo-2007-08-boston-celtics
肯德里克·帕金斯,C,2,1,76,89,44,25,62,84,37,74,79,38,57,84,60,85,45,64,79,60,70,67,0,kendrick-perkins-2007-08-boston-celtics
詹姆斯·波西,SF,4,2,76,75,78,83,81,68,81,57,46,62,67,57,74,40,65,75,77,45,80,40,0,james-posey-2007-08-boston-celtics
莱昂·鲍威,PF,2,2,76,87,55,25,70,72,30,91,71,34,58,56,51,90,60,70,70,65,60,87,0,leon-powe-2007-08-boston-celtics
托尼·阿伦,SG,3,2,75,78,72,70,76,64,80,40,52,59,73,52,75,35,78,76,73,30,70,72,0,tony-allen-2007-08-boston-celtics
格伦·戴维斯,C,2,2,75,79,82,58,66,80,64,84,60,43,63,56,64,60,44,65,76,40,60,75,0,glen-davis-2007-08-boston-celtics
萨姆·卡塞尔,PG,1,2,74,82,79,76,88,54,72,33,52,78,61,35,77,25,30,68,85,50,50,65,0,sam-cassell-2007-08-boston-celtics
PJ·布朗,C,3,3,74,70,75,26,69,83,37,84,80,39,58,75,69,65,50,58,76,35,75,50,0,pj-brown-2007-08-boston-celtics
布莱恩·斯卡拉布莱恩,SF,4,3,73,77,84,89,78,42,39,52,56,48,57,52,48,25,38,58,83,70,35,44,0,brian-scalabrine-2007-08-boston-celtics
斯科特·波拉德,PF,2,3,72,70,79,25,69,74,37,90,84,41,69,60,51,65,45,57,65,35,45,77,0,scot-pollard-2007-08-boston-celtics
