name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
德克·诺维茨基,PF,1,1,94,98,98,90,89,78,43,58,82,61,50,65,78,70,50,64,82,98,50,88,1,dirk-nowitzki-2010-11-dallas-mavericks
德肖恩·史蒂文森,SG,5,2,77,60,84,89,88,55,84,41,68,52,73,56,71,40,75,73,81,30,80,60,0,deshawn-stevenson-2010-11-dallas-mavericks
泰森·钱德勒,C,2,1,84,82,54,26,73,88,54,93,89,39,58,75,69,95,79,71,76,50,85,79,0,tyson-chandler-2010-11-dallas-mavericks
肖恩·马里昂,SF,3,1,83,95,78,60,77,75,76,74,81,57,77,65,80,70,85,75,85,70,60,58,0,shawn-marion-2010-11-dallas-mavericks
杰森·基德,PG,5,1,81,77,74,79,87,70,82,37,62,84,85,30,84,25,29,77,77,60,80,38,0,jason-kidd-2010-11-dallas-mavericks
杰森·特里,SG,1,1,85,77,95,83,85,33,69,31,39,82,63,40,93,25,40,73,77,90,50,63,1,jason-terry-2010-11-dallas-mavericks
卡隆·巴特勒,SF,1,2,80,75,88,86,77,54,75,40,51,72,75,37,74,35,65,74,81,75,55,87,0,caron-butler-2010-11-dallas-mavericks
JJ·巴里亚,PG,4,2,78,73,76,79,85,25,64,31,54,81,57,27,83,25,25,73,79,80,50,65,0,jj-barea-2010-11-dallas-mavericks
布兰登·海伍德,C,2,2,75,60,45,25,36,84,27,88,84,36,57,84,50,85,49,65,85,30,65,70,0,brendan-haywood-2010-11-dallas-mavericks
伊安·马辛米,PF,2,2,72,91,67,25,77,80,40,80,77,39,63,87,46,75,69,65,83,35,65,80,0,ian-mahinmi-2010-11-dallas-mavericks
佩贾·斯托贾科维奇,SF,4,3,77,77,90,86,94,47,66,48,62,57,59,51,75,25,50,71,94,65,55,40,0,peja-stojakovic-2010-11-dallas-mavericks
科里·布鲁尔,SG,3,3,76,78,84,66,71,58,77,38,48,62,75,47,78,40,85,78,82,40,70,75,0,corey-brewer-2010-11-dallas-mavericks
布莱恩·卡迪纳尔,SF,5,3,72,67,58,91,80,55,36,62,58,38,48,55,57,45,45,55,81,65,30,38,0,brian-cardinal-2010-11-dallas-mavericks
