name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
蒂姆·邓肯,PF,3,1,94,95,70,48,73,86,69,84,87,59,60,86,78,80,65,81,98,98,85,75,1,tim-duncan-2013-14-san-antonio-spurs
科怀·伦纳德,SF,1,1,91,97,97,83,80,62,98,43,65,71,79,57,82,55,86,85,82,75,98,45,1,kawhi-leonard-2013-14-san-antonio-spurs
托尼·帕克,PG,3,1,86,95,90,81,81,54,77,30,47,84,74,35,86,25,30,82,85,80,70,64,1,tony-parker-2013-14-san-antonio-spurs
丹尼·格林,SG,5,1,82,79,71,86,79,62,90,35,54,63,65,66,80,40,63,74,82,70,90,52,0,danny-green-2013-14-san-antonio-spurs
蒂亚戈·斯普利特,C,2,1,78,69,70,26,70,80,43,70,70,37,60,50,60,70,58,66,81,70,65,80,0,tiago-splitter-2013-14-san-antonio-spurs
马努·吉诺比利,SG,4,2,83,78,74,78,84,45,70,52,62,80,60,51,86,25,50,77,95,90,65,80,1,manu-ginobili-2013-14-san-antonio-spurs
帕蒂·米尔斯,PG,1,2,78,85,83,87,89,27,65,32,47,78,40,35,84,25,25,75,82,70,40,49,0,patty-mills-2013-14-san-antonio-spurs
马尔科·贝里内利,SF,1,2,77,86,88,88,85,53,60,30,52,61,36,35,79,25,65,63,80,75,45,60,0,marco-belinelli-2013-14-san-antonio-spurs
鲍里斯·迪奥,PF,1,2,76,80,76,80,74,60,50,58,66,68,60,44,70,60,60,71,83,70,50,50,0,boris-diaw-2013-14-san-antonio-spurs
阿隆·贝恩斯,C,2,2,73,82,73,30,91,68,37,76,72,41,33,73,60,65,54,62,80,45,45,40,0,aron-baynes-2013-14-san-antonio-spurs
科里·约瑟夫,PG,3,3,77,91,93,74,82,54,80,35,57,79,66,50,76,25,30,70,84,50,70,67,0,cory-joseph-2013-14-san-antonio-spurs
