name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
凯文·杜兰特,PF,1,1,97,98,98,88,89,68,86,32,69,78,37,66,94,60,85,80,88,98,85,70,1,kevin-durant-2016-17-golden-state-warriors
斯蒂芬·库里,PG,4,1,96,90,93,99,91,30,82,38,53,93,77,37,95,25,36,83,86,98,80,80,1,stephen-curry-2016-17-golden-state-warriors
克雷·汤普森,SG,5,1,92,75,94,97,87,64,91,36,47,68,59,51,88,35,65,76,94,98,95,79,1,klay-thompson-2016-17-golden-state-warriors
德雷蒙德·格林,C,4,1,87,71,65,73,70,97,69,50,66,80,85,80,75,55,70,82,88,60,98,44,0,draymond-green-2016-17-golden-state-warriors
安德烈·伊戈达拉,SF,4,1,80,73,82,78,61,80,90,40,58,74,63,55,73,55,80,77,82,30,85,32,1,andre-iguodala-2016-17-golden-state-warriors
贾维尔·麦基,C,2,2,78,79,64,43,66,75,47,82,80,33,42,89,64,95,90,70,80,65,55,55,0,javale-mcgee-2016-17-golden-state-warriors
大卫·韦斯特,PF,3,2,77,93,89,71,75,80,68,63,70,49,70,88,63,60,50,57,80,65,45,50,0,david-west-2016-17-golden-state-warriors
马特·巴恩斯,SF,4,2,73,87,52,77,73,60,70,47,56,59,60,52,72,40,68,79,77,30,65,45,0,matt-barnes-2016-17-golden-state-warriors
帕特里克·麦考,SG,4,2,73,66,71,81,87,54,75,36,42,61,63,37,73,40,75,73,82,35,60,57,0,patrick-mccaw-2016-17-golden-state-warriors
肖恩·利文斯顿,PG,3,2,75,93,92,45,86,51,76,36,48,78,61,51,77,40,69,68,77,45,70,54,0,shaun-livingston-2016-17-golden-state-warriors
凯文·卢尼,PF,2,3,75,51,60,59,62,74,61,84,79,52,61,74,77,55,50,69,84,55,75,52,0,kevon-looney-2016-17-golden-state-warriors
达米安·琼斯,C,2,3,72,84,66,57,72,73,40,62,65,37,42,74,75,75,75,76,78,35,45,44,0,damian-jones-2016-17-golden-state-warriors
伊恩·克拉克,SG,1,3,72,75,84,82,82,45,48,36,47,61,63,40,76,25,45,69,82,65,30,70,0,ian-clark-2016-17-golden-state-warriors
