"name","height","position","legendaryBadgeCount","purpleBadgeCount","goldBadgeCount","silverBadgeCount","bronzeBadgeCount","outsideScoringBadgeCount","insideScoringBadgeCount","generalOffenseBadgeCount","playmakingBadgeCount","defensiveBadgeCount","reboundingBadgeCount","allAroundBadgeCount","badgeCount","team","overallAttribute","closeShot","midRangeShot","threePointShot","freeThrow","shotIQ","offensiveConsistency","layup","standingDunk","drivingDunk","postHook","postFade","postControl","drawFoul","hands","interiorDefense","perimeterDefense","steal","block","helpDefenseIQ","passPerception","defensiveConsistency","speed","agility","strength","vertical","stamina","hustle","overallDurability","passAccuracy","ballHandle","speedWithBall","passIQ","passVision","offensiveRebound","defensiveRebound"
"Trae Young","6'1"" (185cm)","PG",0,2,9,4,1,5,8,0,0,0,0,0,16,"Atlanta Hawks",88,90,84,83,82,70,95,94,25,30,28,60,34,94,80,31,55,43,35,58,70,30,84,84,50,78,95,75,86,92,96,84,92,90,32,46
"Jalen Johnson","6'8"" (203cm)","PF",0,0,4,11,0,1,4,1,0,1,2,1,15,"Atlanta Hawks",87,97,81,80,81,85,95,88,75,96,72,78,76,85,80,66,66,76,42,60,57,50,76,76,68,82,85,80,80,79,78,74,79,75,46,88
"Kristaps Porzingis","7'2"" (218cm)","C",0,0,1,8,6,3,1,1,0,2,1,0,15,"Atlanta Hawks",85,91,91,80,86,80,80,79,85,75,84,88,85,47,85,75,56,37,87,74,60,55,66,65,74,78,80,70,77,50,68,56,40,70,65,64
"Dyson Daniels","6'7"" (201cm)","PG",0,0,9,5,0,0,3,0,0,7,1,1,14,"Atlanta Hawks",82,77,68,77,62,70,50,80,25,75,44,55,47,51,85,67,94,98,51,87,95,90,79,93,52,75,89,85,80,77,78,79,77,71,52,58
"Onyeka Okongwu","6'10"" (208cm)","C",0,0,2,4,5,0,0,1,0,2,2,1,11,"Atlanta Hawks",81,88,88,82,77,75,80,86,85,85,54,55,57,52,80,79,64,43,73,83,65,65,74,74,70,75,88,95,83,51,54,60,50,46,68,80
"Nickeil Alexander-Walker","6'5"" (196cm)","SG",0,0,1,5,5,0,2,0,0,6,0,0,11,"Atlanta Hawks",80,95,76,82,85,70,80,88,40,60,54,58,64,67,88,52,84,69,67,82,80,80,72,87,60,70,90,75,80,75,81,72,76,64,37,43
"Zaccharie Risacher","6'10"" (208cm)","SF",0,0,0,0,8,1,4,1,0,0,0,0,8,"Atlanta Hawks",79,96,74,78,71,70,60,80,55,70,55,56,56,54,95,57,79,66,62,79,79,75,70,82,56,67,91,85,80,68,79,68,67,37,37,47
"Luke Kennard","6'5"" (196cm)","SG",0,0,2,3,0,4,0,1,0,0,0,0,5,"Atlanta Hawks",75,95,90,87,89,65,50,70,30,60,28,35,32,49,80,35,51,63,32,50,50,40,69,68,40,60,92,70,80,74,75,66,74,40,41,43
"Vit Krejci","6'8"" (203cm)","SF",0,0,0,1,3,1,3,0,0,0,0,0,4,"Atlanta Hawks",75,85,64,86,67,85,65,79,45,70,35,38,38,44,75,50,60,38,52,59,58,40,75,75,40,76,80,75,80,69,70,74,70,46,33,51
"Mouhamed Gueye","6'10"" (208cm)","PF",0,0,0,2,2,0,0,0,0,0,2,1,4,"Atlanta Hawks",75,86,67,69,73,75,70,72,75,80,52,51,52,58,90,60,48,40,72,57,50,45,67,67,63,75,88,90,80,60,60,52,62,44,61,68
"Asa Newell","6'11"" (211cm)","PF",0,0,0,0,1,0,0,0,0,0,0,0,1,"Atlanta Hawks",74,73,67,82,75,60,60,73,80,85,60,60,60,51,75,70,66,65,65,67,69,60,75,70,67,78,85,90,80,54,69,69,55,34,78,64
"Caleb Houstan","6'8"" (203cm)","SG",0,0,0,0,3,0,0,0,0,3,0,0,3,"Atlanta Hawks",73,74,76,83,84,75,45,70,25,25,32,32,32,44,80,47,80,40,40,78,68,80,78,82,40,72,86,70,80,62,70,72,65,30,36,44
"Keaton Wallace","6'3"" (191cm)","SG",0,0,0,0,0,0,0,0,0,0,0,0,0,"Atlanta Hawks",72,88,68,84,83,70,65,77,25,50,32,30,29,40,85,44,70,76,47,70,68,70,80,79,49,72,88,70,84,70,72,76,74,72,27,55
"N’Faly Dante","6'11"" (211cm)","C",0,0,0,0,0,0,0,0,0,0,0,0,0,"Atlanta Hawks",68,65,36,25,61,50,30,66,80,80,55,52,55,40,78,70,48,37,69,70,60,50,73,48,70,70,70,95,80,25,32,57,40,31,67,69
"Nikola Djurisic","6'8"" (203cm)","SF",0,0,0,0,0,0,0,0,0,0,0,0,0,"Atlanta Hawks",68,73,73,72,75,50,50,75,45,75,37,47,45,40,80,44,54,38,44,55,57,35,80,76,54,62,80,70,80,69,73,74,70,48,49,63
"Eli N’Diaye","6'8"" (203cm)","PF",0,0,0,0,0,0,0,0,0,0,0,0,0,"Atlanta Hawks",68,69,68,69,64,50,40,70,75,85,53,53,53,48,80,65,65,46,57,62,55,50,70,53,62,86,80,80,80,47,54,59,47,38,52,64
"Jacob Toppin","6'8"" (203cm)","PF",0,0,0,0,0,0,0,0,0,0,0,0,0,"Atlanta Hawks",67,70,69,69,67,40,30,68,65,85,44,48,58,40,69,67,65,38,51,68,60,60,68,68,62,82,85,75,80,50,68,64,50,44,47,62
"Jayson Tatum","6'8"" (203cm)","PF",0,0,9,10,9,4,8,1,0,7,0,1,28,"Boston Celtics",94,90,85,85,81,90,98,96,50,89,79,86,88,88,98,81,87,43,52,89,84,85,82,88,71,83,95,98,80,78,86,79,84,73,35,85
"Jaylen Brown","6'6"" (198cm)","SF",0,0,5,9,7,3,1,1,0,9,1,1,21,"Boston Celtics",91,82,96,80,77,85,85,94,40,94,67,69,80,85,95,70,89,40,51,86,87,85,79,88,69,84,95,95,82,78,86,76,84,71,40,66
"Derrick White","6'4"" (193cm)","SG",0,0,5,7,3,2,3,0,0,7,0,1,15,"Boston Celtics",84,74,81,79,83,75,75,87,40,55,35,51,35,83,90,58,91,80,76,92,78,95,88,93,46,75,85,95,81,88,86,87,82,71,39,50
"Payton Pritchard","6'1"" (185cm)","PG",0,0,1,5,4,5,4,0,0,0,0,0,10,"Boston Celtics",81,98,94,84,80,90,80,85,25,35,40,46,35,57,75,36,60,40,25,60,45,35,75,75,41,66,84,78,81,84,82,75,82,71,40,51
"Anfernee Simons","6'3"" (191cm)","SG",0,0,0,3,8,3,4,1,0,0,0,0,11,"Boston Celtics",78,92,76,83,90,65,70,89,40,89,49,49,49,57,95,49,59,36,47,50,55,40,86,89,41,90,92,90,80,75,86,79,75,54,32,44
"Luka Garza","6'10"" (208cm)","C",0,0,0,0,3,0,0,0,0,0,1,0,3,"Boston Celtics",76,96,74,77,77,70,85,74,60,45,79,79,79,59,85,54,30,38,72,52,56,30,40,40,69,48,80,85,80,55,35,34,55,36,95,58
"Josh Minott","6'8"" (203cm)","SF",0,0,0,0,4,0,0,0,0,3,1,0,4,"Boston Celtics",76,73,85,75,79,75,60,75,65,80,51,55,52,59,85,59,67,83,58,67,79,65,72,76,62,80,90,85,80,62,63,68,60,39,69,71
"Sam Hauser","6'7"" (201cm)","SF",0,0,0,2,2,3,0,1,0,0,0,0,4,"Boston Celtics",76,89,90,81,89,70,70,60,40,60,44,45,45,55,95,48,55,40,52,52,44,45,61,62,66,62,85,88,80,50,43,55,60,34,42,57
"Neemias Queta","7'0"" (213cm)","C",0,0,0,3,1,0,0,0,0,1,2,1,4,"Boston Celtics",76,97,66,40,59,70,35,72,75,70,62,60,62,40,75,76,45,46,87,70,48,65,59,59,76,65,80,90,80,52,38,30,62,39,86,82
"Chris Boucher","6'9"" (206cm)","C",0,0,0,3,3,0,0,0,0,1,2,1,6,"Boston Celtics",73,90,81,79,78,60,30,74,85,80,72,64,72,50,85,76,37,43,72,78,50,60,57,55,80,74,89,80,77,33,41,25,59,30,67,76
"Jordan Walsh","6'6"" (198cm)","PF",0,0,0,0,0,0,0,0,0,0,0,0,0,"Boston Celtics",73,67,65,79,71,55,35,68,40,80,57,54,44,40,85,70,75,89,74,75,74,75,77,77,54,86,89,85,80,63,68,68,62,34,63,75
"Xavier Tillman Sr.","6'7"" (201cm)","C",0,0,0,0,2,0,0,0,0,0,1,1,2,"Boston Celtics",72,86,68,62,45,60,45,73,75,65,70,70,70,46,95,74,66,49,57,75,74,65,46,67,72,69,82,85,80,62,61,37,68,29,51,72
"Baylor Scheierman","6'6"" (198cm)","SG",0,0,0,0,0,0,0,0,0,0,0,0,0,"Boston Celtics",71,73,80,83,85,70,60,71,40,55,30,48,40,44,66,47,56,59,40,57,47,40,86,64,54,54,90,85,80,70,71,75,69,42,53,55
"Hugo Gonzalez","6'6"" (198cm)","SG",0,0,0,0,0,0,0,0,0,0,0,0,0,"Boston Celtics",71,74,76,71,76,70,50,74,45,75,47,48,42,40,70,53,73,44,45,74,70,65,75,75,55,75,88,90,80,62,70,70,62,40,55,53
"Amari Williams","6'10"" (208cm)","PF",0,0,0,0,0,0,0,0,0,0,0,0,0,"Boston Celtics",69,67,60,55,62,50,40,67,75,80,62,50,60,54,70,70,60,47,68,72,50,55,66,68,69,75,85,85,80,66,64,62,69,56,60,60
"Ron Harper Jr.","6'4"" (193cm)","SF",0,0,0,0,0,0,0,0,0,0,0,0,0,"Boston Celtics",68,70,72,76,79,60,50,72,40,70,44,45,30,47,85,42,60,43,47,60,52,55,69,69,47,70,80,75,80,58,72,63,55,33,34,46
"Max Shulga","6'4"" (193cm)","PG",0,0,0,0,0,0,0,0,0,0,0,0,0,"Boston Celtics",68,74,77,80,78,50,50,74,30,45,30,44,48,55,80,42,60,75,28,57,54,50,75,72,52,67,80,60,80,75,75,74,75,54,41,47
"Michael Porter Jr.","6'10"" (208cm)","SF",0,0,2,8,1,4,2,1,0,0,1,1,11,"Brooklyn Nets",84,95,84,83,85,80,90,92,60,80,50,62,68,55,80,60,64,37,37,60,68,40,80,81,68,88,88,80,66,65,78,77,62,69,42,87
"Nic Claxton","6'11"" (211cm)","C",0,0,2,4,3,0,1,0,0,3,2,1,9,"Brooklyn Nets",82,97,69,64,71,75,55,67,80,75,72,64,72,55,80,84,79,42,81,85,64,85,69,77,71,79,90,89,80,40,49,44,48,71,71,76
"Cameron Thomas","6'3"" (191cm)","SG",0,0,5,3,2,4,3,1,0,0,0,0,10,"Brooklyn Nets",81,97,85,82,88,60,95,89,50,75,37,39,39,70,74,41,59,37,30,51,52,40,77,75,54,79,86,75,80,59,82,70,52,68,31,51
"Terance Mann","6'5"" (196cm)","SG",0,0,0,2,1,1,0,1,0,1,0,0,3,"Brooklyn Nets",76,92,78,82,86,75,60,83,45,75,47,50,50,49,75,54,66,43,45,62,59,50,71,73,50,79,85,90,80,79,79,70,83,66,55,42
"Ziaire Williams","6'9"" (206cm)","SF",0,0,0,0,2,0,0,0,0,0,0,1,2,"Brooklyn Nets",75,82,68,74,85,65,50,75,65,80,48,44,58,50,75,60,73,56,57,70,74,70,87,87,40,82,90,80,80,50,79,82,54,28,41,49
"Day’Ron Sharpe","6'9"" (206cm)","C",0,0,1,2,4,0,0,1,0,1,2,1,7,"Brooklyn Nets",74,78,74,67,67,65,35,73,75,70,48,35,48,44,70,69,60,80,68,69,55,60,61,61,79,73,80,90,80,62,58,38,66,68,92,82
"Noah Clowney","6'9"" (206cm)","C",0,0,0,0,4,0,0,0,0,0,1,1,4,"Brooklyn Nets",74,62,69,76,75,75,75,72,80,80,60,59,60,65,85,68,57,40,53,67,66,55,64,64,64,75,90,85,80,57,59,57,68,40,41,65
"Drake Powell","6'6"" (198cm)","SG",0,0,0,0,2,1,0,0,0,0,0,1,2,"Brooklyn Nets",73,74,74,77,65,60,60,74,45,85,44,44,44,50,80,54,75,73,42,70,70,65,86,87,54,95,85,90,80,69,70,75,69,65,37,58
"Egor Demin","6'9"" (206cm)","SF",0,0,0,1,3,0,4,0,0,0,0,0,4,"Brooklyn Nets",73,69,66,79,70,60,65,70,45,65,52,51,55,40,90,47,65,59,45,60,67,60,70,75,60,74,88,90,80,84,86,70,85,78,37,63
"Jalen Wilson","6'6"" (198cm)","SF",0,0,0,1,0,0,0,0,0,0,0,0,1,"Brooklyn Nets",73,82,79,83,83,75,70,78,30,75,55,54,55,59,90,35,57,37,30,50,52,40,82,79,30,75,80,84,80,64,68,73,63,41,31,41
"Tyrese Martin","6'6"" (198cm)","SF",0,0,0,2,0,1,0,1,0,0,0,0,2,"Brooklyn Nets",73,68,80,76,76,80,65,70,40,60,56,60,59,45,69,54,66,40,50,60,40,55,70,72,59,70,85,65,80,75,70,63,75,66,52,55
"Haywood Highsmith","6'5"" (196cm)","PF",0,0,0,3,4,1,0,0,0,5,0,1,7,"Brooklyn Nets",73,86,70,81,75,70,50,78,35,45,47,54,46,40,70,70,79,59,61,78,77,70,70,81,50,79,80,65,86,55,70,64,55,35,45,52
"Danny Wolf","7'0"" (213cm)","PF",0,0,0,0,1,0,1,0,0,0,0,0,1,"Brooklyn Nets",71,76,70,76,60,60,60,74,70,70,69,69,67,52,95,58,55,49,63,52,50,45,47,52,60,57,90,85,80,69,69,47,70,52,57,72
"Tyson Etienne","6'2"" (188cm)","PG",0,0,0,0,0,0,0,0,0,0,0,0,0,"Brooklyn Nets",70,74,76,78,79,75,65,74,25,60,27,34,32,50,69,30,64,44,30,62,60,45,83,79,44,72,85,75,80,75,81,83,70,52,33,49
"Nolan Traore","6'4"" (193cm)","PG",0,0,0,0,0,0,0,0,0,0,0,0,0,"Brooklyn Nets",70,76,69,73,71,50,50,76,30,70,42,44,69,55,81,44,60,54,40,57,60,40,85,85,56,74,92,75,80,78,86,85,78,74,37,44
"E.J. Liddell","6'6"" (198cm)","PF",0,0,0,0,2,0,0,0,0,1,0,1,2,"Brooklyn Nets",70,80,79,76,76,40,45,75,55,60,66,71,68,37,85,65,54,44,79,62,54,50,73,73,65,89,80,65,80,59,60,59,58,49,59,66
"Ben Saraf","6'5"" (196cm)","SG",0,0,0,0,1,0,1,0,0,0,0,0,1,"Brooklyn Nets",69,72,76,70,75,50,40,71,30,60,30,45,48,67,80,40,62,64,37,60,57,45,83,79,52,67,80,70,80,81,76,83,81,81,37,44
"LaMelo Ball","6'7"" (201cm)","PG",0,0,3,6,6,4,8,0,0,0,0,0,15,"Charlotte Hornets",88,86,86,80,81,85,90,86,45,75,52,58,52,82,98,45,70,53,45,79,89,75,84,84,50,79,93,89,82,93,88,84,93,90,41,59
"Kon Knueppel","6'7"" (201cm)","SG",0,0,4,3,4,4,2,1,0,2,0,0,11,"Charlotte Hornets",82,85,85,88,88,75,80,84,40,55,40,40,40,44,90,48,70,37,40,67,67,65,65,70,62,78,89,70,80,75,76,64,75,50,36,70
"Brandon Miller","6'7"" (201cm)","SF",0,0,1,5,6,3,5,1,0,0,0,1,12,"Charlotte Hornets",82,77,76,79,86,90,80,80,55,87,40,64,47,53,80,50,73,43,62,67,68,65,78,82,51,85,95,80,80,75,86,78,75,66,38,57
"Miles Bridges","6'7"" (201cm)","PF",0,0,4,5,1,0,1,1,0,0,0,1,10,"Charlotte Hornets",81,85,84,80,90,80,85,86,60,88,84,84,84,75,75,60,59,33,50,62,68,45,75,76,84,85,93,80,85,69,76,71,74,66,40,73
"Collin Sexton","6'3"" (191cm)","SG",0,0,0,5,8,4,5,0,0,0,0,1,13,"Charlotte Hornets",79,79,75,86,85,80,80,80,30,75,25,38,28,50,75,45,67,42,25,60,60,50,88,88,48,84,95,80,81,75,86,87,74,74,30,47
"Ryan Kalkbrenner","7'1"" (216cm)","C",0,0,0,4,3,0,0,0,0,2,2,0,7,"Charlotte Hornets",79,92,74,73,71,85,70,60,80,75,71,60,70,67,85,78,30,53,94,78,54,75,44,35,67,74,85,85,80,50,37,30,50,27,91,62
"Moussa Diabate","6'9"" (206cm)","C",0,0,3,4,0,0,0,1,0,1,2,1,7,"Charlotte Hornets",77,96,72,67,71,60,50,68,65,80,67,57,67,57,65,65,41,42,85,65,50,55,73,73,60,78,80,95,80,42,40,66,52,32,97,73
"Mason Plumlee","6'10"" (208cm)","C",0,0,0,0,6,0,1,1,0,0,2,1,6,"Charlotte Hornets",75,85,60,58,65,70,50,81,85,80,75,70,70,40,81,74,46,40,75,72,68,60,57,48,80,75,78,92,83,75,37,50,72,55,71,89
"Sion James","6'6"" (198cm)","SG",0,0,0,4,4,1,3,1,0,2,0,0,8,"Charlotte Hornets",75,79,70,84,84,75,65,79,55,70,58,58,59,47,75,69,72,42,50,70,68,65,93,85,82,81,80,80,80,69,69,78,69,33,33,52
"Tre Mann","6'3"" (191cm)","SG",0,0,0,2,3,4,0,0,0,0,0,0,5,"Charlotte Hornets",74,66,85,80,84,70,75,87,25,60,35,55,60,45,85,49,62,41,40,60,59,40,74,74,53,68,88,75,80,77,83,73,75,70,45,56
"Pat Connaughton","6'5"" (196cm)","SG",0,0,0,0,2,1,0,0,0,0,0,1,2,"Charlotte Hornets",73,80,69,77,72,70,35,78,30,86,35,34,30,66,90,35,73,32,57,70,71,65,77,78,45,95,80,80,83,69,78,65,78,49,45,63
"Josh Green","6'5"" (196cm)","SF",0,0,0,0,4,1,0,1,0,2,0,0,4,"Charlotte Hornets",73,81,69,83,67,50,30,75,30,80,35,34,30,44,95,35,79,56,45,79,78,75,86,86,60,80,89,90,83,67,70,72,65,35,40,41
"Grant Williams","6'6"" (198cm)","PF",0,0,0,3,3,1,1,0,0,1,1,1,6,"Charlotte Hornets",73,81,73,80,84,70,45,77,50,60,59,58,66,37,80,68,68,56,67,69,60,60,58,70,73,66,88,80,80,69,66,54,72,43,45,64
"Tidjane Salaun","6'8"" (203cm)","PF",0,0,0,0,0,0,0,0,0,0,0,0,0,"Charlotte Hornets",72,45,65,73,72,80,40,75,65,80,52,51,51,47,80,69,74,41,51,65,59,50,71,82,60,80,88,90,80,47,66,66,45,36,57,70
"KJ Simpson","6'0"" (183cm)","PG",0,0,0,0,4,0,3,0,0,0,0,0,4,"Charlotte Hornets",72,73,53,68,81,75,65,78,25,50,28,40,37,50,80,42,64,56,45,59,59,40,76,83,52,82,85,80,80,78,87,76,78,70,44,60
"Drew  Peterson","6'9"" (206cm)","SF",0,0,0,0,0,0,0,0,0,0,0,0,0,"Charlotte Hornets",70,70,74,79,75,75,50,73,60,65,45,47,46,45,70,52,43,40,42,45,50,40,59,58,62,68,85,85,80,69,68,58,68,38,52,66
"Antonio Reeves","6'5"" (196cm)","SG",0,0,0,0,1,1,0,0,0,0,0,0,1,"Charlotte Hornets",70,89,75,86,84,60,60,80,30,70,39,36,39,40,80,32,60,42,40,52,48,40,83,78,39,75,85,70,80,62,70,73,62,36,40,41
"Liam McNeeley","6'7"" (201cm)","SF",0,0,0,0,1,1,0,0,0,0,0,0,1,"Charlotte Hornets",70,67,70,80,86,60,50,67,40,60,38,39,39,58,85,51,62,47,37,58,57,40,81,73,54,72,84,80,80,68,69,70,68,51,46,58
"Josh Giddey","6'8"" (203cm)","SG",0,0,8,2,3,0,8,0,0,0,2,0,13,"Chicago Bulls",85,91,52,81,77,90,90,94,45,65,55,58,55,89,90,50,62,43,51,57,54,45,79,79,60,74,88,90,80,90,86,79,92,88,47,85
"Coby White","6'5"" (196cm)","PG",0,0,1,11,3,4,8,1,0,0,0,0,15,"Chicago Bulls",83,91,61,81,91,80,90,90,30,65,34,45,49,84,95,49,64,41,37,66,64,55,85,85,56,81,90,85,80,79,87,84,84,69,30,50
