name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
泰里斯·马克西,Tyrese Maxey,PG,4,1,92,87,83,87,88,54,79,29,55,79,63,61,94,25,70,82,77,98,65,84
乔尔·恩比德,Joel Embiid,C,1,1,89,97,80,73,82,84,68,62,90,74,43,82,84,85,80,68,56,90,80,90
保罗·乔治,Paul George,PF,4,1,83,55,94,87,86,71,79,33,73,72,80,53,82,55,80,79,93,80,70,40
VJ·埃奇科姆,VJ Edgecombe,SG,4,1,81,77,61,82,77,53,77,51,55,72,53,51,85,35,89,82,80,70,75,67
凯利·乌布雷,Kelly Oubre Jr.,SF,1,1,80,95,85,77,79,49,74,43,56,59,43,62,84,40,84,78,84,70,55,70
昆汀·格莱姆斯,Quentin Grimes,SF,4,2,80,86,67,82,86,46,83,36,52,71,41,51,82,25,70,78,80,80,75,72
安德烈·德拉蒙德,Andre Drummond,C,2,2,79,82,60,70,62,75,52,93,92,51,43,82,69,85,80,73,81,60,65,40
特伦登·沃特福德,Trendon Watford,PF,3,3,77,95,68,76,80,66,52,58,69,72,37,50,79,75,75,75,80,70,40,66
多米尼克·巴洛,Dominick Barlow,C,2,3,76,89,77,68,83,59,55,65,64,47,43,75,79,60,75,73,80,65,50,62
贾斯汀·爱德华兹,Justin Edwards,PF,4,2,75,73,86,76,70,50,68,45,44,55,56,53,79,40,80,78,80,70,50,44
贾里德·麦凯恩,Jared McCain,SG,5,2,75,55,79,78,88,45,63,28,52,68,73,25,82,30,70,72,80,70,55,60
埃里克·戈登,Eric Gordon,SG,5,3,74,77,80,85,75,42,73,30,39,61,46,56,75,30,70,79,78,40,50,60
阿德姆·博纳,Adem Bona,C,2,3,74,88,57,54,58,70,37,68,66,36,43,91,72,80,80,81,80,40,60,37
凯尔·洛瑞,Kyle Lowry,PG,5,2,74,67,85,75,82,60,80,34,48,74,76,56,70,25,25,83,79,45,80,45
贾巴里·沃克,Jabari Walker,PF,5,3,72,68,70,77,74,68,60,71,68,45,32,58,72,45,75,70,80,40,60,40
约翰尼·布鲁姆,Johni Broome,PF,3,3,70,75,75,69,60,70,60,69,69,60,49,72,72,50,60,69,80,50,60,55
亨特·萨利斯,Hunter Sallis,SG,1,3,68,74,80,72,78,44,63,34,54,49,67,45,74,45,75,70,80,50,45,47
