name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
迈克尔·乔丹,SG,1,1,99,97,98,89,83,79,98,52,63,86,86,50,97,70,95,91,99,98,98,84,1,michael-jordan-1995-96-chicago-bulls
斯科蒂·皮蓬,SF,1,1,95,83,84,87,67,74,96,56,61,80,75,55,88,55,91,79,87,85,98,69,1,scottie-pippen-1995-96-chicago-bulls
丹尼斯·罗德曼,PF,2,1,86,71,65,50,52,98,50,99,95,48,57,50,55,80,65,79,87,55,98,49,0,dennis-rodman-1995-96-chicago-bulls
卢克·朗利,C,2,1,74,77,61,25,77,79,25,62,64,39,55,78,34,75,40,52,75,70,75,56,0,luc-longley-1995-96-chicago-bulls
罗恩·哈珀,PG,1,1,79,74,70,70,70,42,87,47,46,72,83,52,74,40,60,75,84,70,90,61,0,ron-harper-1995-96-chicago-bulls
托尼·库科奇,SF,1,2,80,79,84,84,77,64,70,57,53,64,62,50,65,60,57,62,79,75,75,71,0,toni-kukoc-1995-96-chicago-bulls
史蒂夫·科尔,PG,5,2,75,66,84,95,92,25,66,32,37,68,63,27,62,25,25,68,89,85,70,45,0,steve-kerr-1995-96-chicago-bulls
雅德·布奇勒,SG,5,2,70,64,66,90,63,45,50,60,51,56,73,42,62,35,66,63,80,85,55,25,0,jud-buechler-1995-96-chicago-bulls
约翰·萨利,C,2,3,69,57,38,27,69,69,36,65,67,43,61,71,50,70,48,56,70,55,60,68,0,john-salley-1995-96-chicago-bulls
迪基·辛普金斯,PF,2,2,69,67,51,36,62,75,30,76,64,37,55,47,35,77,40,56,80,55,75,73,0,dickey-simpkins-1995-96-chicago-bulls
比尔·温宁顿,C,3,2,67,72,72,37,86,74,30,57,57,35,58,51,31,50,40,50,77,75,75,45,0,bill-wennington-1995-96-chicago-bulls
詹姆斯·爱德华兹,PF,2,3,63,62,50,25,61,68,25,57,51,31,35,62,44,65,40,46,75,75,75,67,0,james-edwards-1995-96-chicago-bulls
