name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
扬尼斯·安特托昆博,Giannis Antetokounmpo,PF,3,1,97,90,84,52,60,90,87,61,91,86,70,71,98,85,91,91,91,98,95,97
迈尔斯·特纳,Myles Turner,C,5,1,83,83,95,84,78,87,70,47,75,44,40,87,79,80,65,74,83,75,85,55
鲍比·波蒂斯,Bobby Portis Jr.,C,3,2,81,93,79,80,82,78,40,63,87,51,41,60,74,75,70,75,84,80,65,74
科尔·安东尼,Cole Anthony,PG,4,1,77,87,72,79,82,45,69,46,65,76,56,61,79,40,85,80,98,75,45,62
小加里·特伦特,Gary Trent Jr.,SG,5,1,77,94,78,85,83,50,61,31,45,57,53,30,80,40,75,76,82,60,35,84
凯尔·库兹马,Kyle Kuzma,SF,4,1,77,82,60,74,63,66,75,39,69,63,36,47,75,75,75,80,83,60,70,50
小凯文·波特,Kevin Porter Jr.,PG,1,2,76,88,85,78,74,44,69,40,69,79,73,47,85,40,80,76,80,60,40,84
托里恩·普林斯,Taurean Prince,PF,5,2,75,73,80,86,83,64,74,34,55,54,53,40,76,75,70,78,81,60,60,55
瑞恩·罗林斯,Ryan Rollins,SG,4,2,75,80,74,84,84,43,60,40,53,76,76,61,78,25,65,76,80,60,45,77
A.J·格林,AJ Green,SF,5,2,74,60,80,86,86,40,63,31,48,53,38,35,70,40,40,68,80,65,45,40
阿米尔·科菲,Amir Coffey,SF,5,3,73,88,89,84,91,47,64,35,45,59,37,37,84,25,75,71,79,40,50,49
加里·哈里斯,Gary Harris,SG,1,3,73,88,79,75,79,68,80,41,44,60,56,57,84,40,50,75,83,50,80,60
杰里科·西姆斯,Jericho Sims,C,1,3,72,68,69,26,52,66,40,84,79,31,35,62,64,80,89,80,80,40,40,40
小安德烈·杰克逊,Andre Jackson Jr.,SF,1,3,71,75,68,81,70,53,80,60,56,55,46,55,67,40,87,80,80,30,80,37
萨纳西斯·安特托昆博,Thanasis Antetokounmpo,PF,3,3,69,71,66,66,50,42,59,64,61,56,33,51,80,40,85,74,87,40,40,69
克里斯·利文斯顿,Chris Livingston,PF,1,3,69,76,68,70,72,52,64,52,51,50,47,48,76,50,80,74,80,35,40,37
泰勒·史密斯,Tyler Smith,PF,5,3,69,72,75,80,73,53,52,47,60,43,35,59,64,80,80,74,80,50,35,44
马克·西尔斯,Mark Sears,PG,5,3,68,78,83,79,84,31,60,30,37,75,50,30,76,25,30,72,80,55,40,45
贾马里·布耶亚,Jamaree Bouyea,PG,4,3,67,76,67,73,72,42,68,30,45,72,70,45,76,25,45,74,82,40,50,40
皮特·南斯,Pete Nance,PF,5,3,67,73,70,84,76,60,48,64,70,44,50,61,70,75,75,72,83,35,40,40
