name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
约什·吉迪,Josh Giddey,SG,4,1,85,94,54,81,78,50,62,57,79,89,53,57,94,45,65,78,80,90,45,89
科比·怀特,Coby White,PG,5,1,83,91,61,81,91,49,64,30,50,77,41,37,90,30,65,80,80,90,55,84
尼古拉·武切维奇,Nikola Vucevic,C,3,1,83,98,79,84,82,68,41,64,86,74,40,58,70,75,65,66,77,90,45,50
马塔斯·布泽利斯,Matas Buzelis,PF,1,1,80,85,75,82,85,58,62,44,64,55,35,81,85,65,89,79,80,85,50,59
特雷·琼斯,Tre Jones,PG,3,2,78,96,76,79,81,34,73,43,47,82,84,47,86,25,35,75,81,70,60,52
凯文·赫尔特,Kevin Huerter,SF,5,1,77,95,79,82,72,44,64,35,53,64,56,53,85,30,65,74,83,65,50,50
阿约·多森穆,Ayo Dosunmu,SG,1,2,77,87,91,79,79,38,69,35,50,73,42,51,87,25,75,73,80,75,65,55
帕特里克·威廉姆斯,Patrick Williams,PF,1,2,76,80,73,79,73,70,76,40,57,54,41,57,68,60,65,74,81,65,65,45
扎克·科林斯,Zach Collins,C,3,2,75,93,79,73,88,68,45,75,75,40,43,67,70,70,65,70,80,50,40,50
贾伦·史密斯,Jalen Smith,C,3,3,75,97,72,74,82,70,48,72,88,34,36,80,69,85,80,73,80,60,45,47
伊萨克·奥科罗,Isaac Okoro,SF,5,2,74,80,60,79,72,68,84,51,44,55,43,55,80,45,75,79,82,35,80,34
杰文·卡特,Jevon Carter,PG,5,3,73,92,89,80,82,34,79,31,38,70,53,56,75,25,35,75,81,60,70,40
达伦·特里,Dalen Terry,SG,1,3,72,77,72,79,69,43,69,47,47,67,63,53,77,25,80,74,80,55,65,54
朱利安·菲利普斯,Julian Phillips,SF,1,3,72,81,68,75,77,55,68,56,47,48,46,55,70,45,80,73,80,50,65,55
诺阿·埃森盖,Noa Essengue,PF,1,3,72,71,70,70,70,60,68,55,54,53,60,45,72,50,80,77,80,50,45,76
特伦廷·弗劳尔斯,Trentyn Flowers,SF,5,3,69,62,71,75,64,52,62,48,54,53,57,37,62,70,85,74,80,35,45,42
伊曼纽尔·米勒,Emanuel Miller,SF,5,3,68,67,70,74,75,55,58,49,60,52,50,47,70,45,80,78,80,35,40,40
拉克兰·奥尔布里奇,Lachlan Olbrich,PF,3,3,68,70,66,61,58,60,37,62,65,61,47,50,67,60,65,65,80,50,50,60
