name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
多诺万·米切尔,Donovan Mitchell,SG,4,1,93,95,82,85,82,68,75,39,56,80,59,42,95,50,92,89,80,95,75,90
埃文·莫布里,Evan Mobley,PF,1,1,89,85,67,80,74,96,82,65,85,67,41,86,84,85,85,81,80,70,95,67
达柳斯·加兰,Darius Garland,PG,4,1,87,96,85,86,88,31,71,36,44,88,56,35,90,25,40,82,80,80,50,74
贾莱特·阿伦,Jarrett Allen,C,2,1,84,98,82,63,74,88,72,71,88,37,46,68,80,90,85,82,82,60,85,60
德安德烈·亨特,De’Andre Hunter,SF,5,1,80,92,95,84,86,63,82,38,58,55,41,40,79,65,70,78,80,75,80,60
朗佐·鲍尔,Lonzo Ball,PG,5,2,78,55,68,78,82,60,84,41,56,78,86,58,70,30,75,78,80,60,85,50
马克斯·斯特鲁斯,Max Strus,SF,5,2,77,86,85,83,88,45,66,49,59,68,37,42,74,35,65,72,85,50,50,42
小拉里·南斯,Larry Nance Jr.,C,1,2,74,93,74,75,70,74,61,53,70,61,76,74,72,85,85,74,83,40,60,50
迪恩·韦德,Dean Wade,PF,5,2,74,78,70,79,52,50,77,49,67,42,46,55,78,80,75,74,79,65,65,44
萨姆·梅里尔,Sam Merrill,SG,5,2,74,70,81,84,97,42,68,41,47,64,49,47,64,30,45,64,79,75,55,55
托马斯·布莱恩特,Thomas Bryant,C,3,3,73,95,85,74,83,63,40,70,75,39,42,76,70,75,65,72,82,45,45,37
小克雷格·波特,Craig Porter Jr.,PG,1,3,72,81,86,83,69,44,68,41,51,71,46,76,79,30,50,76,80,40,60,60
杰伦·泰森,Jaylon Tyson,SF,4,3,72,86,78,80,80,50,67,72,61,56,53,35,79,40,70,79,80,40,40,40
卢克·特拉弗斯,Luke Travers,SF,5,3,69,70,72,74,68,52,62,37,33,53,36,56,70,30,65,70,80,50,50,54
奈夸恩·汤姆林,Nae’Qwan Tomlin,PF,4,3,69,78,67,74,61,57,57,67,63,54,57,68,78,45,80,72,80,60,45,40
泰里斯·普罗克特,Tyrese Proctor,PG,5,3,69,78,79,79,69,42,60,30,47,70,48,27,77,35,65,77,80,50,45,37
