name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
杰森·塔图姆,Jayson Tatum,PF,4,1,94,90,85,85,81,81,87,35,85,78,43,52,96,50,89,86,80,98,85,88
杰伦·布朗,Jaylen Brown,SF,5,1,91,82,96,80,77,70,89,40,66,77,40,51,94,40,94,85,82,85,85,85
德里克·怀特,Derrick White,SG,5,1,84,74,81,79,83,58,91,39,50,80,80,76,87,40,55,80,81,75,95,83
佩顿·普理查德,Payton Pritchard,PG,5,1,81,98,94,84,80,36,60,40,51,79,40,25,85,25,35,69,81,80,35,57
安芬尼·西蒙斯,Anfernee Simons,PG,1,2,78,92,76,83,90,49,59,32,44,68,36,47,89,40,89,81,80,70,40,57
卢卡·加尔扎,Luka Garza,C,2,2,76,96,74,77,77,54,30,95,58,48,38,72,74,60,45,60,80,85,30,59
约什·米诺特,Josh Minott,PF,3,2,76,73,85,75,79,59,67,69,71,53,83,58,75,65,80,77,80,60,65,59
萨姆·豪瑟,Sam Hauser,SF,5,2,76,89,90,81,89,48,55,42,57,48,40,52,60,40,60,70,80,70,45,55
尼米亚斯·奎塔,Neemias Queta,C,2,1,76,97,66,40,59,76,45,86,82,51,46,87,72,75,70,71,80,35,65,40
克里斯·布歇,Chris Boucher,C,1,3,73,90,81,79,78,76,37,67,76,40,43,72,74,85,80,72,77,30,60,50
乔丹·沃尔什,Jordan Walsh,PF,1,3,73,67,65,79,71,70,75,63,75,53,89,74,68,40,80,78,80,35,75,40
泽维尔·蒂尔曼,Xavier Tillman Sr.,C,5,3,72,86,68,62,45,74,66,51,72,53,49,57,73,75,65,70,80,45,65,46
贝勒·谢尔曼,Baylor Scheierman,SG,1,2,71,73,80,83,85,47,56,53,55,60,59,40,71,40,55,72,80,60,40,44
雨果·冈萨雷斯,Hugo Gonzalez,SG,1,3,71,74,76,71,76,53,73,55,53,54,44,45,74,45,75,76,80,50,65,40
阿马里·威廉姆斯,Amari Williams,PF,1,3,69,67,60,55,62,70,60,60,60,63,47,68,67,75,80,74,80,40,55,54
小罗恩·哈珀,Ron Harper Jr.,SF,5,3,68,70,72,76,79,42,60,34,46,48,43,47,72,40,70,68,80,50,55,47
马克斯·舒尔加,Max Shulga,PG,5,3,68,74,77,80,78,42,60,41,47,68,75,28,74,30,45,67,80,50,50,55
