name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
卡瓦伊·莱昂纳德,Kawhi Leonard,SF,1,1,92,96,88,86,75,81,89,42,68,75,73,56,90,55,80,84,82,95,90,80
詹姆斯·哈登,James Harden,PG,5,1,89,84,84,83,87,62,70,36,65,86,63,60,94,35,75,81,95,90,65,94
伊维察·祖巴茨,Ivica Zubac,C,2,1,87,98,76,26,64,92,63,86,91,55,37,75,86,85,80,73,80,80,95,55
约翰·柯林斯,John Collins,PF,4,1,82,97,79,80,85,74,49,63,79,53,43,72,87,90,90,79,84,80,50,44
布鲁克·洛佩斯,Brook Lopez,C,1,2,80,98,86,81,85,86,45,50,54,49,37,86,60,80,65,69,79,40,95,60
布拉德利·比尔,Bradley Beal,SG,5,1,80,97,85,84,81,45,60,36,47,71,46,56,89,30,75,78,82,85,40,45
克里斯·保罗,Chris Paul,PG,1,2,78,95,88,81,94,57,73,32,56,83,66,45,86,25,27,71,77,50,65,50
波格丹·博格丹诺维奇,Bogdan Bogdanovic,SF,5,2,78,93,95,80,87,44,63,34,53,71,43,45,79,50,65,74,77,75,40,50
克里斯·邓恩,Kris Dunn,SG,1,2,76,94,84,75,65,40,87,42,57,69,97,55,70,40,55,81,84,30,85,44
小德里克·琼斯,Derrick Jones Jr.,PF,1,2,76,90,82,80,70,67,82,53,50,49,63,57,79,85,94,79,78,50,80,52
尼古拉斯·巴图姆,Nicolas Batum,PF,5,3,75,88,79,86,77,66,73,43,61,59,56,67,74,55,60,77,83,35,65,35
科比·布朗,Kobe Brown,PF,3,3,71,80,72,67,79,62,62,70,82,54,43,53,72,60,65,72,80,60,45,50
乔丹·米勒,Jordan Miller,SF,3,3,71,86,70,72,79,54,65,60,47,59,37,45,70,40,80,75,80,50,45,40
特伦廷·弗拉沃斯,Trentyn Flowers,SF,5,3,69,62,71,75,64,52,62,48,54,54,57,37,62,70,85,74,80,35,45,42
雅尼克·科南·尼德豪瑟,Yanic Konan Niederhauser,C,2,3,69,74,62,40,66,70,48,69,54,34,42,79,70,85,80,77,80,35,50,47
卡姆·克里斯蒂,Cam Christie,PG,5,3,68,67,79,75,79,47,62,42,48,59,39,30,66,40,75,74,80,40,45,40
科比·桑德斯,Kobe Sanders,SG,1,3,68,74,77,75,64,48,57,37,42,54,50,32,62,70,85,70,80,35,40,42
