name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
贾·莫兰特,Ja Morant,PG,1,1,91,88,88,76,83,49,72,36,56,88,56,42,97,25,96,89,80,95,75,90
小贾伦·杰克逊,Jaren Jackson Jr.,PF,1,1,89,97,76,82,78,93,80,47,65,45,56,83,82,85,80,78,94,90,95,75
泰·杰罗姆,Ty Jerome,SG,5,1,79,98,94,86,89,32,56,45,48,80,86,27,88,40,45,67,80,90,35,48
扎克·伊迪,Zach Edey,C,3,1,79,82,60,80,71,79,37,94,81,51,38,87,60,80,70,65,80,60,75,50
布兰登·克拉克,Brandon Clarke,PF,2,2,78,97,78,57,70,80,75,75,68,51,59,65,87,80,84,83,80,35,80,55
桑蒂·阿尔达马,Santi Aldama,SF,4,1,78,94,72,81,70,67,66,57,77,67,42,56,79,70,65,68,79,75,65,50
小斯科蒂·皮蓬,Scotty Pippen Jr.,PG,4,2,76,88,57,83,71,31,62,45,56,81,90,56,82,25,65,73,80,75,50,50
杰伦·威尔斯,Jaylen Wells,SF,5,2,76,88,71,81,81,51,80,47,47,54,37,35,78,45,70,77,80,40,75,55
肯塔维厄斯·考德威尔-波普,Kentavious Caldwell-Pope,SG,5,2,76,93,94,80,87,45,87,33,42,57,63,55,74,35,73,79,84,40,85,40
约克·兰代尔,Jock Landale,C,3,2,74,90,77,63,69,71,48,85,69,52,36,74,75,65,65,66,80,60,45,44
GG·杰克逊,GG Jackson,SF,4,3,74,71,70,77,74,58,58,58,60,48,37,50,71,65,85,76,80,65,40,54
小文斯·威廉姆斯,Vince Williams Jr.,SF,4,3,73,88,60,68,75,55,79,46,63,63,40,51,69,35,70,75,80,40,75,55
约翰·康查尔,John Konchar,SG,5,3,73,73,76,78,78,54,62,59,76,64,63,72,77,40,55,71,84,60,45,40
奥利维耶-马克森斯·普罗斯珀,Olivier-Maxence Prosper,PF,1,3,72,65,68,67,65,67,74,67,62,54,66,50,68,40,85,80,80,40,60,58
塞德里克·考沃德,Cedric Coward,SG,5,3,72,78,78,82,84,58,73,47,52,59,60,57,78,50,80,81,80,50,55,45
贾冯·斯莫尔,Javon Small,PG,5,3,69,75,76,76,88,44,64,30,39,71,70,25,75,35,80,78,80,40,40,50
PJ·霍尔,PJ Hall,C,1,3,68,75,72,71,78,55,47,52,60,46,50,60,68,75,75,74,80,40,40,49
卡姆·斯宾塞,Cam Spencer,SG,5,3,68,68,79,76,90,44,59,49,51,66,49,44,69,30,55,70,80,50,45,52
