name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
特雷·杨,Trae Young,PG,5,1,88,90,84,83,87,31,55,32,46,91,43,35,94,25,30,77,86,95,30,94
克里斯塔普斯·波尔津吉斯,Kristaps Porzingis,C,4,1,85,95,66,86,81,75,56,56,75,44,41,85,79,90,75,77,77,80,55,57
杰伦·约翰逊,Jalen Johnson,PF,4,1,85,89,78,74,81,66,66,50,87,75,59,66,88,75,96,77,80,90,50,75
戴森·丹尼尔斯,Dyson Daniels,SG,4,1,82,84,68,77,59,67,94,51,61,73,98,58,80,25,75,78,80,50,90,51
奥涅卡·奥孔古,Onyeka Okongwu,C,2,2,81,93,88,74,75,79,64,77,84,48,43,71,86,85,85,79,83,70,65,52
尼克尔·亚历山大-沃克,Nickeil Alexander-Walker,SG,5,2,80,88,85,83,77,52,84,39,52,70,74,55,88,40,60,75,80,80,80,67
扎卡里·里萨谢,Zaccharie Risacher,SF,3,1,78,87,74,77,71,57,79,51,52,56,41,57,80,55,70,75,80,60,75,54
卢克·肯纳德,Luke Kennard,PG,5,2,75,93,89,87,89,35,51,38,50,71,46,32,70,30,60,66,80,50,40,49
穆罕默德·盖耶,Mouhamed Gueye,PF,1,2,74,75,67,63,73,60,48,58,69,51,73,88,72,75,80,75,80,70,45,58
凯莱布·豪斯顿,Caleb Houstan,SG,5,3,73,74,76,83,84,47,80,36,44,52,40,40,70,25,25,71,80,45,80,44
阿萨·纽厄尔,Asa Newell,PF,1,3,73,73,67,73,75,70,66,78,64,47,65,65,73,80,85,77,80,50,60,51
维特·克雷吉,Vit Krejci,SF,5,2,73,85,64,84,67,50,60,34,57,67,42,62,72,45,70,70,80,50,40,44
基顿·华莱士,Keaton Wallace,SG,5,3,70,87,68,82,83,44,70,30,47,68,73,70,77,25,50,73,84,45,70,40
恩法利·但特,N’Faly Dante,C,2,3,68,65,36,25,61,70,48,67,69,32,37,69,66,80,80,71,80,30,50,40
尼古拉·朱里西奇,Nikola Djurisic,SF,1,3,68,73,73,72,75,44,54,49,63,62,38,44,75,45,75,70,80,50,35,40
埃利·恩迪亚耶,Eli N’Diaye,PF,1,3,68,69,68,69,64,65,65,52,64,44,46,57,70,75,85,71,80,40,50,48
雅各布·托平,Jacob Toppin,PF,1,3,67,70,69,69,67,67,65,47,62,48,38,51,68,65,85,73,80,30,60,40
