name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
巴姆·阿德巴约,Bam Adebayo,C,3,1,89,88,88,78,83,90,88,63,83,72,53,60,84,85,80,84,90,80,95,60
泰勒·希罗,Tyler Herro,PG,5,1,86,97,92,84,86,46,69,32,62,78,41,40,92,30,60,73,80,95,50,82
诺曼·鲍威尔,Norman Powell,SG,5,1,85,89,84,87,82,50,79,31,49,63,56,37,87,25,80,77,82,90,75,65
安德鲁·威金斯,Andrew Wiggins,PF,1,1,80,94,79,81,77,55,74,50,51,57,46,66,77,40,85,82,83,70,65,50
杰米·哈克斯,Jaime Jaquez Jr.,SF,1,1,80,89,84,73,76,68,72,58,66,69,76,42,85,55,88,78,80,65,75,45
凯尔·韦尔,Kel’el Ware,PF,3,2,79,87,64,75,70,75,37,67,88,40,42,83,77,85,86,78,80,60,60,62
达维翁·米切尔,Davion Mitchell,SG,4,2,77,86,40,84,67,44,87,34,42,73,49,42,79,25,40,80,80,50,85,30
西蒙尼·方特基奥,Simone Fontecchio,SF,1,2,75,84,83,83,82,51,65,47,62,49,40,50,79,40,65,68,80,60,45,67
佩莱·拉尔森,Pelle Larsson,SG,4,3,75,79,79,82,67,52,65,45,47,63,66,47,74,45,75,78,80,75,50,59
尼古拉·约维奇,Nikola Jovic,C,4,2,75,86,70,81,83,59,62,37,62,67,46,51,83,30,60,67,80,70,40,62
特里·罗齐尔,Terry Rozier III,PG,1,2,74,85,80,72,86,55,75,40,57,71,37,51,84,40,75,83,82,50,50,85
德鲁·史密斯,Dru Smith,PG,5,3,73,77,74,82,84,40,63,50,49,76,84,62,79,40,45,67,80,60,50,60
卡斯帕拉斯·雅库西奥尼斯,Kasparas Jakucionis,SG,4,3,71,78,71,76,85,59,66,30,51,82,49,42,78,35,70,79,80,40,60,73
凯沙德·约翰逊,Keshad Johnson,PF,1,3,69,75,70,71,70,52,60,58,57,49,46,50,69,50,75,84,80,65,40,40
弗拉迪斯拉夫·戈尔丁,Vladislav Goldin,Stretch Lob Threat,1,3,68,70,68,66,73,66,45,69,65,51,35,67,60,75,65,57,80,50,50,63
迈伦·加德纳,Myron Gardner,SG,1,3,68,71,72,77,64,45,69,40,55,56,62,48,73,40,70,74,80,40,65,45
贾米尔·杨,Jahmir Young,PG,1,3,67,74,81,72,83,27,64,38,56,74,60,50,76,25,25,73,80,50,40,50
