name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
拉梅洛·鲍尔,LaMelo Ball,PG,4,1,88,86,84,80,84,45,70,41,59,92,53,45,86,45,75,79,82,90,75,82
迈尔斯·布里奇斯,Miles Bridges,PF,4,1,82,92,84,79,87,60,59,43,81,71,38,62,86,60,88,82,85,85,45,75
布兰登·米勒,Brandon Miller,SF,4,1,82,77,76,79,86,50,73,38,57,72,43,62,80,55,87,78,80,80,65,53
科林·塞克斯顿,Collin Sexton,SG,4,1,80,96,81,84,87,45,67,43,42,73,40,32,80,30,75,80,81,80,50,50
康·克努佩尔,Kon Knueppel,SF,5,2,79,84,82,87,91,48,70,39,44,65,42,32,84,40,55,72,80,75,65,44
瑞安·卡尔克布伦纳,Ryan Kalkbrenner,C,2,1,78,85,74,73,71,78,30,83,69,45,41,90,60,80,75,65,80,50,75,67
穆萨·迪亚巴特,Moussa Diabate,C,2,2,77,88,72,67,72,65,41,90,81,42,53,80,68,65,80,76,80,50,55,57
赛昂·詹姆斯,Sion James,SG,5,2,76,79,70,84,84,69,72,37,41,65,53,37,79,55,70,83,80,65,65,47
梅森·普拉姆利,Mason Plumlee,C,2,3,75,85,60,58,65,74,46,71,89,67,40,75,81,85,80,71,83,50,60,40
特雷·曼恩,Tre Mann,PG,5,2,75,93,93,84,84,49,62,45,48,74,38,52,87,25,60,72,80,75,40,45
约什·格林,Josh Green,SG,5,3,73,81,69,83,67,35,79,40,41,55,56,45,75,30,80,81,83,30,75,44
格兰特·威廉姆斯,Grant Williams,PF,5,2,73,81,73,80,84,68,68,45,64,61,56,67,77,50,60,72,80,45,60,37
帕特·康诺顿,Pat Connaughton,SG,5,3,72,80,69,72,72,35,73,43,63,65,32,57,78,30,86,75,83,35,65,66
蒂德扎内·萨劳恩,Tidjane Salaun,PF,5,3,72,45,65,73,72,69,74,57,70,42,41,51,75,65,80,78,80,40,50,47
K.J.·辛普森,KJ Simpson,PG,5,3,72,70,53,68,81,42,64,50,46,75,56,45,78,25,50,76,80,65,40,50
德鲁·彼得森,Drew  Peterson,SF,5,3,70,70,74,79,75,52,43,52,66,58,40,42,73,60,65,69,80,50,40,45
安东尼奥·里夫斯,Antonio Reeves,SG,5,3,70,89,75,86,84,32,60,40,41,53,42,40,80,30,70,71,80,60,40,40
利亚姆·麦克尼利,Liam McNeeley,SF,5,3,70,67,70,80,86,51,62,37,58,62,47,37,67,40,60,74,80,50,40,58
