name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
劳里·马尔卡宁,Lauri Markkanen,SF,5,1,87,97,71,82,88,66,65,58,53,61,40,55,80,80,80,70,80,90,65,85
沃克·凯斯勒,Walker Kessler,C,2,1,83,97,74,70,70,84,65,93,88,41,37,93,65,85,75,66,80,65,85,51
基扬特·乔治,Keyonte George,SG,4,1,83,97,73,76,93,34,65,35,50,82,42,47,87,40,65,75,80,90,50,80
艾斯·贝利,Ace Bailey,SF,4,2,78,87,80,80,69,59,68,72,46,58,43,45,74,60,80,79,80,70,60,59
优素福·努尔基奇,Jusuf Nurkic,C,3,2,77,82,88,66,61,71,45,69,94,70,79,58,68,75,65,66,72,50,70,70
以赛亚·科利尔,Isaiah Collier,PG,1,1,77,94,57,71,71,30,62,25,63,80,33,55,87,30,75,81,80,55,55,50
凯尔·菲利波夫斯基,Kyle Filipowski,PF,4,1,76,89,70,75,69,60,55,65,81,61,36,67,64,70,70,72,80,60,45,50
布赖斯·森萨博,Brice Sensabaugh,SG,5,2,76,95,81,82,91,50,55,42,67,58,46,40,83,35,60,70,79,70,35,41
斯维·米哈伊柳克,Svi Mykhailiuk,SG,1,3,75,92,79,81,79,37,55,40,42,58,36,45,70,40,55,72,79,70,30,39
凯文·乐福,Kevin Love,C,4,3,74,95,79,80,70,69,50,51,89,68,78,52,72,70,50,65,77,55,50,50
泰勒·亨德里克斯,Taylor Hendricks,PF,5,3,74,82,78,72,80,68,68,76,94,49,46,71,82,60,75,77,80,45,50,42
乔治·尼昂,Georges Niang,PF,5,3,74,97,79,84,80,60,55,40,62,57,35,42,77,25,50,66,84,45,35,40
凯尔·安德森,Kyle Anderson,PF,4,2,74,91,48,79,71,60,79,55,67,75,63,66,79,55,45,70,83,45,75,49
小沃尔特·克莱顿,Walter Clayton Jr.,PG,5,2,73,92,82,82,88,40,64,42,55,73,42,40,79,40,60,74,80,55,45,85
科迪·威廉姆斯,Cody Williams,SF,4,3,72,83,53,65,73,55,73,38,46,53,37,53,74,50,80,77,80,45,55,40
奥斯卡·奇布维,Oscar Tshiebwe,C,2,3,70,76,69,37,70,69,48,89,87,44,31,72,62,75,75,76,80,30,55,37
约翰·托恩杰,John Tonje,SG,5,3,69,80,80,81,87,50,62,43,54,51,42,40,78,35,70,73,80,40,50,44
以利亚·哈克利斯,Elijah Harkless,PG,5,3,67,67,68,75,75,42,76,48,57,69,80,47,67,25,51,77,80,30,70,44
