name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
多曼塔斯·萨博尼斯,Domantas Sabonis,C,3,1,85,87,86,73,73,70,49,75,93,77,49,37,82,75,75,69,86,90,60,70
扎克·拉文,Zach LaVine,SG,4,1,83,98,79,85,87,47,61,29,48,59,38,37,87,60,94,79,83,85,40,80
德马尔·德罗赞,DeMar DeRozan,SF,3,1,83,98,95,83,89,58,64,34,47,69,53,40,85,55,80,81,91,85,55,50
拉塞尔·威斯布鲁克,Russell Westbrook,PG,1,1,81,94,62,79,65,42,74,52,79,81,70,37,87,30,80,88,92,90,70,65
基根·穆雷,Keegan Murray,PF,4,1,80,98,70,79,71,68,78,51,68,54,63,81,77,60,80,77,80,75,75,45
马利克·蒙克,Malik Monk,SF,4,2,79,87,82,88,87,45,60,34,45,70,46,57,82,40,75,76,80,75,45,44
普雷修斯·阿丘瓦,Precious Achiuwa,PF,3,2,77,97,60,72,46,79,56,69,77,39,46,61,79,85,80,80,76,50,75,51
马克西姆·雷诺,Maxime Raynaud,C,3,2,77,92,80,77,73,59,32,61,80,46,36,63,68,70,70,68,80,75,45,69
丹尼斯·施罗德,Dennis Schroder,PG,4,2,77,77,84,78,78,34,73,30,57,79,49,42,84,25,45,79,80,70,60,37
德鲁·尤班克斯,Drew Eubanks,C,4,3,75,95,73,77,53,74,47,48,78,41,46,89,69,75,70,71,83,75,45,44
基昂·埃利斯,Keon Ellis,SG,5,2,75,94,76,80,86,58,84,34,41,52,97,53,75,25,65,76,80,50,80,54
达里奥·沙里奇,Dario Saric,PF,1,3,74,82,71,70,83,80,66,62,76,65,63,25,74,45,70,70,81,50,75,50
德文·卡特,Devin Carter,PG,4,3,74,83,67,75,61,58,73,51,69,76,80,55,74,30,80,87,80,65,50,40
尼克·克利福德,Nique Clifford,SG,1,3,72,72,76,72,77,55,66,44,60,56,40,55,75,40,70,79,80,50,55,60
道格·麦克德莫特,Doug McDermott,PF,5,3,71,85,78,88,76,52,58,30,48,52,32,42,79,50,65,65,83,50,40,60
德奎昂·普劳登,Daeqwon Plowden,SF,5,3,68,67,68,74,77,46,66,42,46,53,47,37,75,40,80,77,80,35,50,37
以赛亚·史蒂文斯,Isaiah Stevens,PG,5,3,68,70,74,74,84,44,58,30,39,78,36,25,72,25,35,75,79,40,40,45
迪伦·卡德韦尔,Dylan Cardwell,C,2,3,68,62,60,37,40,75,44,73,73,54,36,78,74,85,80,74,80,50,60,37
