name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
卢卡·东契奇,Luka Doncic,SF,4,1,97,98,91,86,79,58,59,40,85,95,66,56,96,65,75,83,85,98,45,92
勒布朗·詹姆斯,LeBron James,PF,1,1,94,95,80,82,77,74,74,41,79,91,42,70,97,80,85,84,97,90,60,80
奥斯汀·里夫斯,Austin Reaves,SG,5,1,88,96,80,83,87,35,66,36,60,83,53,30,94,25,70,77,80,95,55,89
德安德烈·艾顿,Deandre Ayton,C,2,1,82,95,92,63,62,76,49,78,80,51,38,70,79,90,75,72,81,75,70,41
八村塁,Rui Hachimura,SF,5,2,80,94,92,86,73,60,54,37,50,45,37,42,79,80,80,80,80,80,35,60
马库斯·斯玛特,Marcus Smart,PG,1,1,78,90,87,71,90,74,89,36,42,70,97,40,70,25,50,83,83,30,90,27
贾里德·范德比尔特,Jarred Vanderbilt,C,2,2,77,85,69,67,48,83,83,67,87,46,80,58,79,75,75,79,78,40,80,50
杰克·拉拉维亚,Jake LaRavia,PF,4,2,77,84,78,79,67,78,78,54,56,59,76,50,79,60,75,74,80,60,75,69
道尔顿·克内克特,Dalton Knecht,SG,5,2,76,93,90,84,75,50,59,45,51,52,42,63,78,45,65,74,80,55,35,44
贾克森·海耶斯,Jaxson Hayes,C,2,3,75,95,68,60,71,78,48,67,76,35,37,67,77,85,80,74,80,40,65,52
加布·文森特,Gabe Vincent,PG,5,2,74,93,94,81,78,37,60,33,37,64,46,45,80,25,45,67,82,60,45,37
马克西·克勒贝尔,Maxi Kleber,PF,4,3,73,71,70,72,76,80,77,47,53,57,33,63,73,75,75,70,80,35,75,40
小尼克·史密斯,Nick Smith Jr.,PG,1,3,73,88,81,83,91,33,63,25,46,67,32,37,82,40,80,77,80,65,40,41
克里斯蒂安·科洛科,Christian Koloko,C,2,3,71,65,60,29,63,75,37,67,67,39,43,73,64,75,75,73,80,35,70,50
阿杜·蒂埃罗,Adou Thiero,SG,1,3,70,75,64,71,69,57,67,64,57,42,72,55,73,50,88,80,80,25,50,65
布朗尼·詹姆斯,Bronny James Jr.,PG,4,3,69,69,63,70,73,47,72,48,50,57,57,44,68,35,80,84,80,30,65,37
克里斯·马农,Chris Manon,SF,1,3,68,71,68,69,74,50,70,40,47,62,79,55,74,30,85,81,80,30,60,40
