name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
安东尼·戴维斯,Anthony Davis,PF,3,1,93,88,88,71,79,90,80,67,91,66,53,87,82,90,85,85,78,85,90,87
凯里·欧文,Kyrie Irving,PG,1,1,90,91,98,86,92,32,67,43,51,77,53,51,97,25,30,78,80,95,55,75
库珀·弗拉格,Cooper Flagg,SF,1,1,82,84,76,80,84,81,83,57,69,66,67,62,84,65,80,82,80,65,80,73
丹尼尔·加福德,Daniel Gafford,C,2,1,80,97,65,29,70,84,57,88,75,38,38,91,80,85,75,77,80,45,80,40
克莱·汤普森,Klay Thompson,SG,5,1,79,77,78,89,91,60,75,37,52,52,40,52,70,35,65,75,94,75,70,30
德里克·莱夫利二世,Dereck Lively II,C,2,2,80,97,60,52,64,83,57,90,78,66,38,91,82,85,83,70,80,60,80,40
P.J·华盛顿,P.J. Washington,PF,4,2,79,81,59,82,74,83,85,49,79,55,46,67,75,65,80,79,79,50,80,44
德安吉洛·拉塞尔,D'Angelo Russell,PG,1,2,78,94,67,75,84,40,57,32,52,87,56,55,88,25,45,83,83,70,45,88
纳吉·马绍尔,Naji Marshall,SF,3,2,78,97,88,70,84,52,60,47,62,67,53,37,86,45,70,71,80,75,40,49
马克斯·克里斯蒂,Max Christie,SG,5,2,75,74,73,80,84,44,80,35,52,57,43,52,74,35,80,83,80,65,75,41
丹特·埃克萨姆,Dante Exum,SF,5,3,75,83,73,84,74,27,78,30,47,73,63,51,75,25,60,73,83,50,75,52
凯莱布·马丁,Caleb Martin,PF,4,3,74,83,71,78,63,68,75,47,55,58,53,58,84,25,70,75,80,50,70,48
布兰登·威廉姆斯,Brandon Williams,PG,4,3,73,88,91,80,85,33,62,38,49,75,73,40,82,25,50,75,81,55,45,51
杰登·哈迪,Jaden Hardy,SG,4,3,73,86,66,84,67,34,55,31,48,67,43,37,80,40,80,77,80,75,50,46
德怀特·鲍威尔,Dwight Powell,C,2,3,72,92,65,78,62,74,45,68,61,57,46,73,70,75,65,77,83,30,65,83
