name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
迈克尔·波特,Michael Porter Jr.,PF,1,1,82,97,80,83,75,60,64,56,66,55,36,52,92,60,80,81,66,85,40,55
卡梅隆·托马斯,Cameron Thomas,PG,1,1,80,86,95,82,88,41,59,31,51,60,37,30,86,50,75,74,80,95,40,70
尼古拉斯·克拉克斯顿,Nic Claxton,C,2,1,79,82,69,64,52,84,79,67,83,47,46,86,67,80,75,79,80,35,85,55
特伦斯·曼,Terance Mann,SG,4,1,75,94,74,82,66,54,66,50,52,68,49,51,83,45,75,75,80,45,50,41
齐艾尔·威廉姆斯,Ziaire Williams,SF,5,1,75,61,68,77,83,60,73,46,69,47,59,56,75,65,80,78,80,50,70,50
戴伦·夏普,Day’Ron Sharpe,C,2,2,74,87,74,67,76,69,60,91,84,64,73,82,73,75,70,74,80,35,60,44
贾伦·威尔逊,Jalen Wilson,SF,1,2,74,82,79,74,83,35,57,45,52,56,37,30,78,30,75,72,80,60,40,50
诺阿·克朗尼,Noah Clowney,C,5,3,73,49,69,75,84,68,57,47,65,52,38,60,72,80,80,74,80,60,55,65
泰里斯·马丁,Tyrese Martin,SF,5,3,73,70,80,80,76,54,66,49,62,69,41,40,63,40,60,70,80,65,55,45
海伍德·海史密斯,Haywood Highsmith,PF,4,2,73,86,70,81,75,70,79,45,52,48,59,61,78,35,45,71,86,50,70,40
埃戈尔·德明,Egor Demin,SF,1,3,72,69,66,70,70,47,65,27,48,84,67,32,70,45,65,76,80,50,60,40
科比·布夫金,Kobe Bufkin,SG,1,2,71,80,79,70,72,48,64,46,61,71,38,56,80,30,75,78,80,55,40,40
丹尼·沃尔夫,Danny Wolf,PF,4,3,71,76,70,76,60,58,55,57,72,64,49,63,74,70,70,65,80,60,45,52
E.J.·利德尔,E.J. Liddell,PF,1,3,70,80,79,76,76,65,54,59,66,55,44,79,75,55,60,74,80,45,50,37
泰森·艾蒂安,Tyson Etienne,PG,5,2,70,74,76,78,79,30,64,33,49,66,44,30,74,25,60,73,80,65,45,50
诺兰·特拉奥雷,Nolan Traore,PG,4,3,70,76,69,73,71,44,60,37,44,77,54,40,76,30,70,78,80,50,40,55
德雷克·鲍威尔,Drake Powell,SG,1,3,70,74,74,77,65,54,75,37,44,55,50,50,74,45,85,83,80,35,65,37
本·萨拉夫,Ben Saraf,SG,1,3,69,72,76,70,75,40,62,37,44,81,64,37,71,30,60,72,80,40,45,67
