name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
尼古拉·约基奇,Nikola Jokic,C,3,1,98,99,98,86,81,83,61,81,95,96,70,56,91,90,75,77,83,98,80,98
贾马尔·穆雷,Jamal Murray,PG,1,1,86,94,88,85,89,35,77,35,47,80,56,51,93,30,82,79,78,80,70,78
卡梅隆·约翰逊,Cameron Johnson,SF,4,1,83,86,79,83,89,65,69,41,57,64,43,53,79,60,60,75,78,85,65,64
阿龙·戈登,Aaron Gordon,PF,1,1,82,90,89,84,81,80,84,55,56,62,33,45,86,85,94,85,84,70,80,85
克里斯蒂安·布劳恩,Christian Braun,SG,1,1,80,95,85,84,83,40,79,47,55,59,46,51,85,25,85,80,80,65,80,50
小蒂姆·哈达威,Tim Hardaway Jr.,SG,5,2,79,91,72,85,83,45,70,30,46,64,36,32,86,35,78,74,83,80,40,70
约纳斯·瓦兰丘纳斯,Jonas Valanciunas,C,2,2,78,98,81,63,87,69,40,83,90,55,40,67,80,80,65,69,81,50,45,65
布鲁斯·布朗,Bruce Brown,PG,4,2,76,74,60,75,85,58,77,48,63,72,53,51,72,30,70,80,84,70,65,60
佩顿·沃森,Peyton Watson,PF,4,2,75,77,49,79,71,78,78,41,53,52,42,85,74,60,65,76,80,40,80,40
朱利安·斯特劳瑟,Julian Strawther,SF,4,2,74,94,55,79,83,44,74,32,47,54,41,50,79,35,70,69,80,60,65,62
凯斯勒·爱德华兹,Kessler Edwards,SF,1,3,72,72,72,78,80,77,75,47,69,51,46,80,68,60,65,76,80,45,75,45
泽科·纳吉,Zeke Nnaji,C,1,3,72,71,76,76,62,72,54,56,49,35,59,87,77,80,70,79,83,45,50,69
杰伦·皮凯特,Jalen Pickett,PG,5,3,71,92,71,82,76,47,62,38,47,72,41,40,75,25,60,71,79,60,45,50
达龙·霍姆斯二世,DaRon Holmes II,PF,1,3,71,77,76,75,70,76,63,60,68,47,59,73,68,75,75,73,80,40,55,50
亨特·泰森,Hunter Tyson,PF,1,3,70,72,76,73,70,58,62,49,65,54,33,60,70,60,75,71,80,50,40,50
塔马尔·贝茨,Tamar Bates,SG,5,3,68,76,77,82,92,44,60,45,47,48,57,30,70,40,65,71,80,50,50,40
柯蒂斯·琼斯,Curtis Jones,SG,5,3,68,76,77,79,84,25,60,32,52,59,52,32,76,35,70,74,80,50,50,50
斯宾塞·琼斯,Spencer Jones,SF,1,3,67,63,72,79,72,40,57,62,38,50,58,30,66,40,65,65,80,50,40,49
