name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
锡安·威廉森,Zion Williamson,PF,2,1,87,93,70,67,66,59,55,70,71,72,66,70,93,85,93,88,60,85,40,85
德章泰·穆雷,Dejounte Murray,SG,1,1,81,85,71,79,82,53,83,33,77,81,87,51,90,40,75,74,80,75,80,61
乔丹·普尔,Jordan Poole,PG,4,1,80,80,68,81,88,47,57,33,47,79,63,51,88,45,60,73,80,80,30,78
特雷·墨菲三世,Trey Murphy III,SF,5,1,80,82,79,84,87,69,69,36,59,62,46,58,81,65,88,78,80,75,65,41
赫伯特·琼斯,Herbert Jones,SG,1,2,79,68,78,73,83,62,91,40,48,62,78,47,67,55,75,77,80,40,90,55
伊夫·米西,Yves Missi,C,2,1,79,82,42,30,64,80,48,88,75,33,36,83,70,85,80,79,80,40,60,40
杰里迈亚·菲尔斯,Jeremiah Fears,PG,1,2,78,88,82,74,85,38,62,30,48,73,78,29,76,40,70,79,80,70,60,78
萨迪克·贝,Saddiq Bey,SF,1,2,76,71,71,77,80,64,69,66,59,56,40,37,80,45,60,74,81,70,65,84
何塞·阿尔瓦拉多,Jose Alvarado,PG,5,3,75,70,78,77,80,31,85,35,47,64,90,50,70,25,30,73,80,40,85,40
卡洛·马特科维奇,Karlo Matkovic,PF,3,2,75,95,69,71,80,73,41,67,76,46,41,85,77,75,75,68,80,65,50,44
凯文·卢尼,Kevon Looney,C,2,2,74,74,44,69,55,72,46,94,88,58,59,70,70,75,70,74,84,35,65,38
德安德烈·乔丹,DeAndre Jordan,C,2,3,74,75,25,25,41,70,57,89,92,43,38,72,57,75,75,77,94,25,55,44
德里克·奎恩,Derik Queen,C,3,3,74,84,80,58,76,69,52,57,77,64,46,57,78,65,70,68,80,60,60,70
乔丹·霍金斯,Jordan Hawkins,SG,5,3,72,70,74,80,83,45,65,35,52,58,38,56,75,25,60,71,80,60,50,55
布莱斯·麦高文斯,Bryce McGowens,SF,1,3,70,87,79,77,73,37,66,35,52,45,40,51,74,40,80,73,80,40,65,55
米卡·皮维,Micah Peavy,SG,5,3,69,74,75,75,66,59,71,41,58,60,78,50,74,40,80,76,80,30,50,42
特雷·亚历山大,Trey Alexander,SG,1,3,68,73,81,70,82,30,59,34,46,64,41,30,73,25,30,68,80,50,30,55
亨特·迪金森,Hunter Dickinson,C,3,3,68,78,70,69,73,67,52,70,79,57,30,60,62,70,65,59,80,40,50,54
