name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
凯德·坎宁安,Cade Cunningham,PG,1,1,92,94,85,83,86,59,75,37,67,91,42,60,94,40,75,82,80,98,75,88
贾伦·杜伦,Jalen Duren,C,2,1,82,97,55,35,67,88,62,93,90,55,41,81,75,80,80,80,80,50,85,44
奥萨·汤普森,Ausar Thompson,SF,2,1,81,85,63,66,60,84,89,68,65,66,96,67,84,60,91,87,80,30,90,43
托拜厄斯·哈里斯,Tobias Harris,PF,1,1,80,95,72,78,87,59,58,41,69,65,43,62,82,65,75,77,82,75,60,68
杰登·艾维,Jaden Ivey,SG,4,1,79,83,65,84,73,59,71,50,51,76,43,51,85,30,85,82,80,65,65,62
卡里斯·勒韦尔,Caris LeVert,SF,4,2,78,82,73,81,72,45,74,38,52,75,49,58,81,60,75,76,78,80,60,79
邓肯·罗宾逊,Duncan Robinson,SG,5,2,76,94,81,84,90,50,52,30,47,65,38,32,75,30,70,65,83,70,30,54
以赛亚·斯图尔特,Isaiah Stewart,PF,3,2,74,96,76,73,76,78,67,71,77,46,37,88,76,75,70,76,77,50,50,50
马库斯·萨瑟,Marcus Sasser,PG,5,2,74,95,72,82,84,35,70,37,42,73,66,37,78,25,50,74,80,60,65,47
朗·霍兰德,Ron Holland,SF,1,3,74,94,70,59,79,65,70,42,64,52,56,51,85,55,80,79,80,40,55,55
保罗·里德,Paul Reed,C,3,2,72,79,85,73,79,69,43,63,64,49,79,84,69,80,75,68,80,40,40,64
贾文特·格林,Javonte Green,PF,5,3,71,58,70,78,75,74,77,50,56,53,70,68,79,25,85,72,82,45,75,60
科尔比·琼斯,Colby Jones,SG,1,3,71,88,71,72,67,49,71,47,55,59,86,70,75,25,75,74,80,50,50,44
博比·克林特曼,Bobi Klintman,PF,5,3,69,68,70,74,80,57,64,41,51,60,62,57,69,65,75,72,80,50,55,47
查兹·拉尼尔,Chaz Lanier,SG,5,3,68,78,80,83,76,40,52,30,41,51,52,28,78,25,60,79,80,50,45,40
达尼斯·詹金斯,Daniss Jenkins,PG,5,3,67,75,76,75,81,32,63,37,52,67,68,51,72,30,60,71,80,40,50,65
托卢·史密斯,Tolu Smith,PF,2,3,67,70,49,37,60,60,34,70,70,41,40,62,63,70,70,64,80,45,40,40
