name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
维克托·文班亚马,Victor Wembanyama,C,1,1,95,84,79,80,84,96,78,60,98,71,60,99,86,90,80,75,88,95,98,94
迪伦·福克斯,De’Aaron Fox,PG,1,1,88,97,81,83,84,34,84,38,48,81,63,45,97,25,80,84,80,95,80,78
斯蒂芬·卡塞尔,Stephon Castle,SG,1,1,86,97,89,76,72,64,83,52,65,79,80,51,88,40,88,81,80,85,80,84
德文·瓦塞尔,Devin Vassell,SF,5,1,82,75,96,83,88,62,80,32,53,65,43,52,82,40,60,77,82,75,80,44
迪伦·哈珀,Dylan Harper,SG,1,2,80,77,70,73,71,52,70,50,51,74,59,32,88,30,85,81,80,75,65,69
哈里森·巴恩斯,Harrison Barnes,PF,5,1,79,94,80,85,85,67,72,41,47,56,49,37,86,55,80,80,82,70,60,40
凯尔登·约翰逊,Keldon Johnson,PF,1,2,79,98,83,78,75,67,73,68,79,62,43,37,87,65,75,80,80,75,65,61
卢克·科内特,Luke Kornet,C,2,2,78,82,56,70,81,74,32,82,64,50,32,85,60,75,60,62,77,75,70,58
凯利·奥利尼克,Kelly Olynyk,C,4,3,77,88,70,85,76,70,50,62,71,72,53,60,75,70,60,61,82,75,65,49
朱利安·尚帕尼,Julian Champagnie,SF,5,2,77,77,78,81,84,45,67,41,69,54,46,55,79,40,60,67,80,75,40,52
杰里米·索汉,Jeremy Sochan,PF,1,3,76,89,45,72,68,65,74,67,63,71,40,52,84,60,80,75,80,50,65,79
林迪·沃特斯三世,Lindy Waters III,SG,1,3,73,90,85,77,80,53,67,37,60,57,46,55,70,25,65,63,80,75,40,65
乔丹·麦克劳克林,Jordan McLaughlin,PG,5,2,72,73,74,86,75,25,73,35,53,75,86,25,84,25,65,70,83,55,60,49
卡特·布莱恩特,Carter Bryant,SF,5,3,72,69,68,77,70,60,75,40,57,57,62,57,72,45,75,81,80,40,70,38
大卫·琼斯-加西亚,David Jones-Garcia,SG,1,3,71,76,70,76,78,48,65,54,59,74,64,52,72,50,75,73,87,35,50,44
俾斯麦·比永博,Bismack Biyombo,C,2,3,70,92,62,25,51,82,50,65,81,44,46,82,60,80,68,70,83,30,70,39
哈里森·英格拉姆,Harrison Ingram,PF,5,3,69,73,73,74,62,60,62,59,60,55,49,39,73,45,75,79,80,30,55,42
凯尔·曼加斯,Kyle Mangas,SG,5,3,68,72,76,83,76,27,60,49,55,68,67,40,71,25,45,68,84,50,50,40
