name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
谢伊·吉尔杰斯·亚历山大,Shai Gilgeous-Alexander,PG,1,1,98,97,98,83,90,69,86,31,62,94,80,68,97,40,75,84,80,98,85,98
杰伦·威廉姆斯,Jalen Williams,PF,1,1,90,85,94,84,79,85,92,38,62,75,73,61,88,25,80,85,80,90,95,54
切特·霍姆格伦,Chet Holmgren,C,3,1,88,96,88,83,87,85,75,53,84,52,38,93,85,75,75,74,80,75,85,85
以赛亚·哈滕斯坦,Isaiah Hartenstein,C,2,2,83,97,85,55,67,83,41,87,90,57,66,61,77,75,65,75,77,60,80,72
亚历克斯·卡鲁索,Alex Caruso,SG,5,1,80,80,82,80,80,51,93,31,52,71,98,56,75,35,75,74,81,40,95,40
阿杰·米切尔,Ajay Mitchell,SG,4,2,80,94,70,80,92,43,77,40,54,73,92,50,89,35,70,73,80,80,75,79
以赛亚·乔,Isaiah Joe,PG,5,2,80,91,72,87,89,42,69,39,51,56,43,35,81,40,60,71,87,90,55,85
卢根茨·多尔特,Luguentz Dort,SF,5,1,80,70,89,79,75,75,94,48,51,56,80,58,74,50,85,86,80,40,90,40
亚伦·威金斯,Aaron Wiggins,SF,4,2,79,82,73,85,83,48,59,51,56,58,46,51,80,35,70,71,80,80,55,62
卡森·华莱士,Cason Wallace,PG,1,3,79,58,72,82,83,72,89,41,45,65,97,51,85,25,70,78,80,45,90,37
肯里奇·威廉姆斯,Kenrich Williams,PF,4,2,76,88,76,84,81,68,75,56,66,60,49,47,79,40,65,74,80,50,75,55
杰林·威廉姆斯,Jaylin Williams,C,5,3,75,89,84,74,80,68,45,43,82,68,46,72,69,70,70,66,80,65,50,40
乌斯曼·迪昂,Ousmane Dieng,PF,5,3,72,43,73,67,65,67,68,42,60,56,30,80,69,45,75,77,80,55,45,47
尼古拉·托皮奇,Nikola Topic,PG,1,3,72,81,69,72,87,45,63,32,47,79,44,47,81,40,65,73,80,60,45,55
托马斯·索尔贝,Thomas Sorber,C,2,3,71,75,70,60,72,69,58,68,69,63,62,75,70,75,75,74,80,45,60,44
布兰登·卡尔森,Branden Carlson,C,5,3,70,72,72,82,71,52,30,53,81,44,25,37,47,65,60,56,80,55,35,68
布鲁克斯·巴恩希泽,Brooks Barnhizer,SG,5,3,69,74,79,72,76,59,70,42,60,66,70,50,70,40,70,76,80,40,65,45
克里斯·扬布拉德,Chris Youngblood,SG,5,3,68,67,74,80,80,42,64,42,65,48,47,32,69,40,60,71,87,45,45,65
