name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
达米安·利拉德,Damian Lillard,PG,5,1,88,82,95,86,93,31,69,33,54,81,46,37,85,25,85,86,98,90,60,62
丹尼·阿夫迪亚,Deni Avdija,SF,1,1,88,86,77,81,81,62,80,42,75,77,36,56,90,40,75,80,84,90,80,80
谢顿·夏普,Shaedon Sharpe,SF,1,2,83,90,76,78,79,49,69,46,59,63,70,42,85,40,95,83,80,90,45,82
杰拉米·格兰特,Jerami Grant,PF,4,2,82,61,60,83,86,70,69,43,50,63,40,57,89,80,85,81,82,85,75,75
朱·霍勒迪,Jrue Holiday,SG,4,1,82,97,83,80,84,66,90,45,60,80,80,42,85,25,65,76,80,50,90,40
多诺万·克林根,Donovan Clingan,C,4,1,82,96,70,66,80,82,49,96,83,51,41,90,69,85,75,64,80,70,80,59
图马尼·卡马拉,Toumani Camara,PF,4,1,82,69,67,77,71,87,90,55,52,60,66,53,82,60,75,81,80,55,95,32
斯库特·亨德森,Scoot Henderson,PG,1,2,78,76,77,77,77,41,66,40,47,76,56,42,83,35,88,82,80,75,50,40
罗伯特·威廉姆斯三世,Robert Williams III,C,2,2,78,98,69,25,81,83,40,90,77,51,53,95,82,80,75,77,81,35,85,37
马蒂斯·塞布尔,Matisse Thybulle,SG,5,2,75,79,48,81,68,60,85,46,63,46,98,63,74,35,70,77,80,25,85,25
克里斯·穆雷,Kris Murray,SF,1,3,73,63,77,67,68,60,66,63,48,50,63,51,70,60,75,74,80,70,50,50
杜奥普·里斯,Duop Reath,PF,5,3,73,85,68,83,80,62,37,69,52,39,41,67,68,50,60,72,80,75,45,68
西迪·西索科,Sidy Cissoko,SF,1,3,73,89,67,78,65,59,66,46,46,52,38,47,78,50,75,76,80,65,50,40
布莱克·韦斯利,Blake Wesley,PG,4,3,73,79,60,71,64,49,73,39,42,69,86,40,79,40,86,74,80,55,60,59
拉扬·鲁珀特,Rayan Rupert,SG,1,3,72,63,63,71,75,53,70,57,46,56,43,45,82,45,70,72,80,65,65,40
凯莱布·拉夫,Caleb Love,SG,1,3,72,73,78,72,88,34,65,42,54,68,40,25,79,25,65,72,80,75,40,67
杨瀚森,Yang Hansen,C,1,3,70,70,66,66,67,69,40,71,67,61,36,66,60,75,70,60,80,50,45,50
贾文特·库克,Javonte Cooke,SG,5,3,68,75,74,75,71,50,60,38,61,63,47,35,74,40,70,70,79,40,35,40
