name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
斯蒂芬·库里,Stephen Curry,PG,5,1,95,97,93,99,93,30,69,29,57,83,66,52,94,25,36,78,86,98,65,78
吉米·巴特勒,Jimmy Butler,SF,3,1,88,95,74,80,86,80,86,64,54,82,80,47,87,40,75,88,81,80,85,87
摩西·穆迪,Moses Moody,SG,4,1,79,81,73,86,84,68,71,35,52,55,53,72,84,40,70,76,80,70,65,70
德雷蒙德·格林,Draymond Green,C,1,1,79,82,84,79,68,93,88,42,76,79,67,62,70,55,65,80,88,30,95,30
乔纳森·库明加,Jonathan Kuminga,PF,3,1,79,97,73,76,77,73,73,57,78,66,33,50,89,65,85,83,80,75,50,79
阿尔·霍福德,Al Horford,C,4,2,77,83,68,75,90,82,68,50,65,68,53,81,65,70,65,76,78,30,85,37
布兰丁·波杰姆斯基,Brandin Podziemski,SG,5,2,77,82,83,82,75,45,63,33,67,67,63,51,87,35,60,78,80,60,45,60
威尔·理查德,Will Richard,SG,5,3,76,90,79,84,78,50,72,62,44,56,86,35,79,30,75,76,80,75,65,40
巴迪·希尔德,Buddy Hield,SF,5,2,75,97,56,83,78,48,69,36,46,65,76,32,75,25,65,70,82,35,50,59
加里·佩顿二世,Gary Payton II,SG,4,3,75,84,65,70,71,79,83,68,78,55,80,58,85,35,75,77,83,40,80,37
昆腾·波斯特,Quinten Post,PF,5,2,75,94,80,80,86,62,33,58,85,52,41,78,69,75,65,56,80,60,50,40
德安东尼·梅尔顿,De’Anthony Melton,PG,5,2,74,74,60,81,81,48,82,50,55,72,86,56,77,25,70,73,83,60,80,49
特雷斯·杰克逊-戴维斯,Trayce Jackson-Davis,C,2,2,73,82,70,44,59,63,58,75,67,62,40,74,78,80,85,79,80,25,50,40
吉·桑托斯,Gui Santos,PF,4,3,72,86,69,78,71,66,69,68,62,55,43,51,72,50,65,68,86,50,50,45
帕特·斯潘塞,Pat Spencer,PG,5,3,72,58,78,77,77,44,55,47,51,71,42,45,70,40,75,76,84,75,40,54
杰克逊·罗威,Jackson Rowe,SF,4,3,68,70,69,74,71,54,52,64,57,56,54,50,67,60,70,72,80,50,40,50
亚历克斯·图希,Alex Toohey,SF,1,3,68,70,68,74,74,60,60,42,51,54,60,60,73,60,75,72,80,50,50,50
