name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
亚历山大·萨尔,Alexandre Sarr,C,1,1,84,88,82,78,74,78,72,66,80,67,41,96,82,90,85,75,80,75,80,78
C.J.·麦科勒姆,C.J. McCollum,SG,5,1,81,82,73,86,82,35,70,36,47,72,40,42,80,30,40,83,80,90,65,52
凯肖恩·乔治,KyShawn George,PF,5,1,80,90,72,88,71,70,70,35,70,67,42,65,83,40,60,74,80,70,60,30
科里·基斯珀特,Corey Kispert,SF,5,1,78,95,89,85,85,54,70,33,52,60,32,42,70,40,60,74,80,65,65,42
比拉尔·库利巴利,Bilal Coulibaly,SG,4,2,78,84,51,75,75,67,80,41,63,67,53,58,84,60,85,81,80,60,75,50
卡姆·惠特莫尔,Cam Whitmore,PF,5,2,77,76,82,76,79,57,67,49,54,56,70,53,83,40,80,80,80,75,50,59
克里斯·米德尔顿,Khris Middleton,SF,1,2,77,78,97,80,86,67,74,52,51,71,49,55,82,40,65,73,90,50,70,40
布布·卡灵顿,Bub Carrington,PG,1,2,76,58,73,84,83,40,55,29,62,76,40,37,75,35,60,75,80,60,35,57
马文·巴格利三世,Marvin Bagley III,C,2,2,76,88,78,70,71,58,49,85,67,52,43,72,78,70,75,79,87,65,40,50
特雷·约翰逊,Tre Johnson,PG,5,1,76,82,92,83,87,41,62,36,52,56,32,56,80,50,75,77,80,65,55,55
贾斯汀·尚佩尼,Justin Champagnie,SF,4,3,74,78,67,82,74,49,73,88,68,52,73,66,79,65,75,71,80,65,60,42
A.J.·约翰逊,AJ Johnson,PG,1,3,73,76,74,72,75,49,56,32,47,69,37,37,80,30,80,72,80,60,30,44
马拉基·布兰汉姆,Malaki Branham,SG,5,3,71,74,74,83,82,45,63,33,52,59,42,42,74,60,75,75,80,65,45,41
特里斯坦·武克切维奇,Tristan Vukcevic,C,3,3,71,81,86,78,79,59,44,50,81,49,40,81,73,70,65,69,80,45,45,48
沙里夫·库珀,Sharife Cooper,PG,1,3,71,77,73,68,83,25,70,37,62,78,46,51,79,25,40,75,80,50,50,72
安东尼·吉尔,Anthony Gill,PF,3,3,71,91,72,70,61,66,60,46,56,41,38,37,70,75,75,73,80,65,50,40
威尔·莱利,Will Riley,SF,5,3,70,76,77,77,72,50,62,44,40,59,38,32,75,30,70,69,80,50,45,44
贾米尔·沃特金斯,Jamir Watkins,SG,1,3,69,74,74,74,75,45,69,37,45,59,59,40,74,60,85,79,80,40,45,60
