"name","height","position","legendaryBadgeCount","purpleBadgeCount","goldBadgeCount","silverBadgeCount","bronzeBadgeCount","outsideScoringBadgeCount","insideScoringBadgeCount","generalOffenseBadgeCount","playmakingBadgeCount","defensiveBadgeCount","reboundingBadgeCount","allAroundBadgeCount","badgeCount","team","overallAttribute","closeShot","midRangeShot","threePointShot","freeThrow","shotIQ","offensiveConsistency","layup","standingDunk","drivingDunk","postHook","postFade","postControl","drawFoul","hands","interiorDefense","perimeterDefense","steal","block","helpDefenseIQ","passPerception","defensiveConsistency","speed","agility","strength","vertical","stamina","hustle","overallDurability","passAccuracy","ballHandle","speedWithBall","passIQ","passVision","offensiveRebound","defensiveRebound"
"Trae Young","6'1"" (185cm)","PG",0,2,9,4,1,5,8,0,0,0,0,0,16,"Atlanta Hawks",88,90,84,83,82,70,95,94,25,30,28,60,34,94,80,31,55,43,35,58,70,30,84,84,50,78,95,75,86,92,96,84,92,90,32,46
"Jalen Johnson","6'8"" (203cm)","PF",0,0,4,11,0,1,4,1,0,1,2,1,15,"Atlanta Hawks",88,82,94,82,81,85,95,88,75,96,72,78,78,85,80,66,66,63,50,60,57,50,76,76,68,82,85,80,80,84,79,74,88,80,49,89
"Kristaps Porzingis","7'2"" (218cm)","C",0,0,1,8,6,3,1,1,0,2,1,0,15,"Atlanta Hawks",86,93,94,80,86,80,85,79,85,75,84,88,85,47,85,75,56,37,87,74,60,55,66,65,74,78,80,70,77,50,68,56,40,70,65,64
"Dyson Daniels","6'7"" (201cm)","SG",0,0,9,5,0,0,3,0,0,7,1,1,14,"Atlanta Hawks",83,88,68,60,63,70,50,84,25,75,44,55,47,51,85,67,94,90,51,87,95,90,79,93,52,75,89,85,80,77,78,79,77,71,62,60
"Onyeka Okongwu","6'10"" (208cm)","C",0,0,2,4,5,0,0,1,0,2,2,1,11,"Atlanta Hawks",82,91,88,80,76,80,80,86,85,85,54,55,57,75,80,79,64,42,75,83,65,65,74,74,70,75,88,95,83,51,54,60,50,56,57,77
"Nickeil Alexander-Walker","6'5"" (196cm)","SG",0,0,1,5,5,0,2,0,0,6,0,0,11,"Atlanta Hawks",81,86,74,83,87,75,80,88,40,60,54,58,64,73,88,52,84,69,58,82,80,80,72,87,60,70,90,75,80,75,81,72,76,60,39,48
"Zaccharie Risacher","6'10"" (208cm)","SF",0,0,0,0,8,1,4,1,0,0,0,0,8,"Atlanta Hawks",78,97,69,74,70,70,60,80,55,70,55,56,56,54,95,57,79,66,60,79,79,75,70,82,56,67,91,85,80,68,79,68,67,37,41,47
"Vit Krejci","6'8"" (203cm)","SF",0,0,0,1,3,1,3,0,0,0,0,0,4,"Atlanta Hawks",77,92,74,88,67,85,65,79,45,70,35,38,38,44,75,50,60,46,51,59,58,40,75,75,40,76,80,75,80,69,70,74,70,40,34,47
"Luke Kennard","6'5"" (196cm)","SG",0,0,2,3,0,4,0,1,0,0,0,0,5,"Atlanta Hawks",76,97,95,87,96,65,50,70,30,60,28,35,32,49,80,35,51,53,30,50,50,40,69,68,40,60,92,70,80,74,75,66,74,58,38,44
"Asa Newell","6'11"" (211cm)","PF",0,0,0,0,1,0,0,0,0,0,0,0,1,"Atlanta Hawks",75,85,67,86,75,60,60,73,80,85,60,60,60,51,75,70,66,65,65,67,69,60,75,70,67,78,85,90,80,54,69,69,55,34,80,64
"Mouhamed Gueye","6'10"" (208cm)","PF",0,0,0,2,2,0,0,0,0,0,2,1,4,"Atlanta Hawks",74,95,67,68,57,75,70,72,75,80,52,51,52,58,90,60,48,49,75,57,50,45,67,67,63,75,88,90,80,60,60,52,62,33,62,65
"Caleb Houstan","6'8"" (203cm)","SG",0,0,0,0,3,0,0,0,0,3,0,0,3,"Atlanta Hawks",73,74,76,83,84,70,45,70,25,25,32,32,32,44,80,47,80,40,40,78,68,80,78,82,40,72,86,70,80,62,70,72,65,30,36,44
"Keaton Wallace","6'3"" (191cm)","PG",0,0,0,0,0,0,0,0,0,0,0,0,0,"Atlanta Hawks",72,78,68,85,83,70,65,77,25,50,32,30,29,40,85,44,70,76,47,70,68,70,80,79,49,72,88,70,84,70,72,76,74,72,26,55
"N’Faly Dante","6'11"" (211cm)","C",0,0,0,0,0,0,0,0,0,0,0,0,0,"Atlanta Hawks",68,65,36,25,61,50,30,66,80,80,55,52,55,40,78,70,48,37,69,70,60,50,73,48,70,70,70,95,80,25,32,57,40,31,67,69
"Nikola Djurisic","6'8"" (203cm)","SF",0,0,0,0,0,0,0,0,0,0,0,0,0,"Atlanta Hawks",68,73,73,72,75,50,50,75,45,75,37,47,45,40,80,44,54,38,44,55,57,35,80,76,54,62,80,70,80,69,73,74,70,48,49,63
"Eli N’Diaye","6'8"" (203cm)","C",0,0,0,0,0,0,0,0,0,0,0,0,0,"Atlanta Hawks",68,69,68,69,64,50,40,70,75,85,53,53,53,48,80,65,65,46,57,62,55,50,70,53,62,86,80,80,80,47,54,59,47,38,52,64
"Jayson Tatum","6'8"" (203cm)","PF",0,0,9,10,9,4,8,1,0,7,0,1,28,"Boston Celtics",94,90,85,85,81,90,98,96,50,89,79,86,88,88,98,81,87,43,52,89,84,85,82,88,71,83,95,98,80,78,86,79,84,73,35,85
"Jaylen Brown","6'6"" (198cm)","SF",0,0,5,9,7,3,1,1,0,9,1,1,21,"Boston Celtics",93,86,96,80,79,90,95,94,40,94,67,69,80,85,95,70,89,46,51,86,87,85,79,88,69,84,95,95,82,78,86,76,84,72,43,67
"Michael Porter Jr.","6'10"" (208cm)","SF",0,0,3,7,1,4,2,1,0,0,1,1,11,"Brooklyn Nets",87,86,86,87,81,80,95,92,60,80,50,62,68,55,80,60,64,41,42,60,68,40,80,81,68,88,88,80,66,65,78,77,62,68,44,83
"Derrick White","6'4"" (193cm)","SG",0,0,5,7,3,2,3,0,0,7,0,1,15,"Boston Celtics",84,80,92,79,84,75,70,87,40,55,35,51,35,70,90,58,91,66,77,92,78,95,88,93,46,75,85,95,81,88,86,87,82,71,38,52
"Payton Pritchard","6'1"" (185cm)","PG",0,0,4,2,4,5,4,0,0,0,0,0,10,"Boston Celtics",83,98,97,80,86,90,90,85,25,35,40,46,35,57,75,36,60,38,30,60,45,35,75,75,41,66,84,78,81,84,82,75,82,71,43,52
"Cameron Thomas","6'3"" (191cm)","SG",0,0,5,3,2,4,3,1,0,0,0,0,10,"Brooklyn Nets",81,97,85,82,88,60,95,89,50,75,37,39,39,70,74,41,59,37,30,51,52,40,77,75,54,79,86,75,80,59,82,70,52,68,31,51
"Nic Claxton","6'11"" (211cm)","C",0,0,2,4,3,0,1,0,0,3,2,1,9,"Brooklyn Nets",81,84,69,64,71,75,55,67,80,75,72,64,72,55,80,84,79,38,80,85,64,85,69,77,71,79,90,89,80,40,49,44,48,71,70,75
"Anfernee Simons","6'3"" (191cm)","PG",0,0,0,3,8,3,4,1,0,0,0,0,11,"Boston Celtics",79,97,75,83,88,70,75,89,40,89,49,49,49,69,95,49,59,37,42,50,55,40,86,89,41,90,92,90,80,75,86,79,79,60,33,46
"Jordan Walsh","6'6"" (198cm)","PF",0,0,0,0,4,0,0,0,0,4,0,0,4,"Boston Celtics",79,68,67,84,84,75,60,68,40,80,57,54,57,52,85,78,82,90,66,82,85,80,77,81,63,86,89,90,80,63,68,68,62,32,67,67
"Neemias Queta","7'0"" (213cm)","C",0,0,0,4,3,0,0,1,0,1,2,1,7,"Boston Celtics",79,98,69,50,61,70,55,75,75,70,62,60,62,50,85,76,45,41,86,70,48,65,59,59,79,65,80,95,80,52,38,30,62,38,91,83
"Noah Clowney","6'9"" (206cm)","PF",0,0,0,0,4,0,0,0,0,0,1,1,4,"Brooklyn Nets",77,90,69,80,83,80,80,72,80,80,60,59,60,65,85,68,57,38,66,67,66,55,64,64,64,75,90,85,80,57,59,57,68,40,38,58
"Luka Garza","6'10"" (208cm)","C",0,0,0,0,3,0,0,0,0,0,1,0,3,"Boston Celtics",76,96,74,77,77,70,85,74,60,45,79,79,79,59,85,54,30,38,72,52,56,30,40,40,69,48,80,85,80,55,35,34,55,36,95,58
"Josh Minott","6'8"" (203cm)","PF",0,0,0,0,4,0,0,0,0,3,1,0,4,"Boston Celtics",76,67,85,86,75,75,60,75,65,80,51,55,52,59,85,59,67,63,63,67,79,65,72,76,62,80,90,85,80,62,63,68,60,37,67,68
"Terance Mann","6'5"" (196cm)","SG",0,0,0,2,1,1,0,1,0,1,0,0,3,"Brooklyn Nets",76,85,66,82,84,75,60,83,45,75,47,50,50,49,75,54,66,43,37,62,59,50,71,73,50,79,85,90,80,79,79,70,83,70,55,49
"Danny Wolf","7'0"" (213cm)","PF",0,0,0,0,2,1,1,0,0,0,0,0,2,"Brooklyn Nets",76,79,76,83,85,75,65,74,70,70,69,69,67,68,95,58,55,35,53,52,50,45,47,52,60,57,90,85,80,69,69,47,75,61,53,82
"Egor Demin","6'9"" (206cm)","PG",0,0,0,5,3,0,6,0,0,0,0,0,8,"Brooklyn Nets",76,98,60,79,70,70,70,85,45,65,52,51,55,57,90,47,65,59,53,60,67,60,70,75,60,74,88,90,80,84,86,70,85,71,37,61
"Ziaire Williams","6'9"" (206cm)","SF",0,0,0,0,2,0,0,0,0,0,0,1,2,"Brooklyn Nets",75,81,68,73,83,65,50,75,65,80,48,44,58,50,75,60,73,46,57,70,74,70,87,87,40,82,90,80,80,50,79,82,54,30,41,51
"Day’Ron Sharpe","6'9"" (206cm)","C",0,0,1,2,4,0,0,1,0,1,2,1,7,"Brooklyn Nets",75,81,74,68,63,65,35,73,75,70,48,35,48,44,70,69,60,86,71,69,55,60,61,61,79,73,80,90,80,62,58,38,66,68,90,87
"Sam Hauser","6'7"" (201cm)","PF",0,0,0,2,2,3,0,1,0,0,0,0,4,"Boston Celtics",74,89,80,81,89,70,70,60,40,60,44,45,45,55,95,48,55,42,53,52,44,45,61,62,66,62,85,88,80,50,43,55,60,34,41,62
