name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
扎克·拉文,SG,4,1,88,90,88,88,85,49,65,36,61,80,42,50,88,60,95,82,83,98,50,87,0,zach-lavine
尼古拉·武切维奇,C,1,1,87,96,88,85,84,76,41,87,93,68,42,56,78,85,65,72,77,98,55,86,0,nikola-vucevic
劳里·马尔卡宁,PF,4,1,83,94,66,83,84,66,49,60,75,55,37,50,68,70,70,67,80,90,45,82,0,lauri-markkanen
科比·怀特,PG,4,1,79,73,83,80,89,49,64,34,63,78,31,35,77,30,65,80,80,85,45,65,0,coby-white
帕特里克·威廉姆斯,SF,1,1,76,76,85,83,79,70,76,43,63,56,40,61,68,60,65,74,81,65,65,40,0,patrick-williams
赛迪斯·杨,PF,4,2,81,97,66,68,49,78,73,75,63,71,83,56,81,75,80,79,85,90,60,60,0,thaddeus-young
丹尼尔·泰斯,C,1,2,78,91,83,81,66,79,53,53,69,52,41,81,70,79,78,75,65,75,75,48,0,daniel-theis
登泽尔·瓦伦丁,SG,5,2,74,74,83,79,84,60,50,35,77,67,53,27,66,40,35,71,85,75,30,40,0,denzel-valentine
托马什·萨托兰斯基,PG,4,2,75,88,84,79,90,50,71,35,54,76,38,45,79,30,65,73,80,70,60,65,0,tomas-satoransky
贾文特·格林,SF,2,2,73,80,70,74,67,50,68,58,51,58,83,40,82,25,85,73,82,75,50,69,0,javonte-green
加莱特·坦普尔,SG,1,3,73,89,76,80,79,46,78,36,50,66,46,56,76,25,30,68,82,50,70,53,0,garrett-temple
特洛伊·布朗,SF,4,3,73,78,71,73,75,48,72,42,76,66,30,45,70,30,70,73,81,55,55,65,0,troy-brown-jr
艾尔·法鲁克·阿米奴,PF,4,3,75,60,52,70,66,79,77,57,71,57,70,58,72,55,70,73,82,65,75,54,0,al-farouq-aminu
瑞安·阿尔奇迪亚科诺,PG,4,3,72,47,85,79,71,35,65,31,69,78,41,25,76,25,30,69,82,65,40,45,0,ryan-arcidiacono
