name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
杰森·塔图姆,PF,1,1,90,79,86,85,88,77,89,33,76,78,53,52,89,50,88,82,80,95,85,82,0,jayson-tatum
杰伦·布朗,SF,1,1,89,89,96,86,78,70,87,43,62,77,46,52,93,40,89,83,82,98,85,84,0,jaylen-brown
肯巴·沃克,PG,4,1,85,68,85,81,91,32,75,33,56,87,53,45,86,25,30,82,86,80,60,80,0,kemba-walker
马库斯·斯玛特,SG,1,1,80,83,58,72,74,74,93,32,45,70,86,55,65,25,50,81,83,30,95,30,0,marcus-smart
丹尼尔·泰斯,C,1,1,78,91,83,81,66,79,53,53,69,50,41,81,70,79,78,75,65,75,75,48,0,daniel-theis
特里斯坦·汤普森,PF,2,2,78,93,70,62,64,75,54,91,88,40,35,56,65,85,75,75,90,50,55,40,0,tristan-thompson
罗伯特·威廉姆斯三世,C,2,2,77,92,44,25,62,76,40,91,87,44,88,95,72,90,75,77,81,65,60,44,0,robert-williams-iii
贾文特·格林,SF,2,2,73,80,70,74,67,50,68,58,51,60,83,40,82,25,85,73,82,75,50,69,0,javonte-green
佩顿·普理查德,PG,4,2,75,81,79,84,81,36,60,38,49,75,41,45,74,25,35,71,81,80,35,65,0,payton-pritchard
杰夫·蒂格,SG,1,2,74,61,56,82,91,25,78,33,47,78,66,45,70,25,70,80,86,50,70,60,0,jeff-teague
格兰特·威廉姆斯,PF,4,3,71,89,70,82,52,68,58,62,55,59,40,61,60,50,60,73,80,40,65,44,0,grant-williams
谢米·奥杰莱,SF,4,3,73,90,70,82,71,65,59,42,61,54,35,25,72,75,75,82,87,65,35,55,0,semi-ojeleye
阿隆·奈史密斯,SG,4,3,71,68,70,79,83,35,65,44,60,58,31,56,69,35,55,68,81,50,35,54,0,aaron-nesmith
