name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
斯蒂芬·库里,PG,4,1,96,96,97,98,92,30,75,35,60,89,53,35,97,25,36,83,86,98,65,89,1,stephen-curry
克雷·汤普森,SG,1,1,89,88,88,95,82,70,93,33,50,69,43,55,86,35,65,78,94,90,95,61,1,klay-thompson
安德鲁·威金斯,SF,1,1,80,80,80,80,71,55,66,38,54,69,32,82,75,40,94,85,83,80,55,60,0,andrew-wiggins
凯利·乌布雷,PF,4,1,77,66,80,74,78,49,74,52,62,65,59,72,85,40,84,79,84,80,50,69,0,kelly-oubre-jr
德雷蒙德·格林,C,4,1,79,84,70,68,76,85,79,31,72,80,66,42,70,55,65,80,88,30,85,40,0,draymond-green
埃里克·帕斯卡尔,PF,3,2,79,74,93,77,77,64,65,49,59,61,35,45,80,70,80,80,80,75,40,70,0,eric-paschall
詹姆斯·怀斯曼,C,2,2,79,79,80,76,73,77,50,56,84,50,37,90,71,80,75,76,87,80,65,65,0,james-wiseman
肯特·贝兹莫尔,SF,4,2,76,88,59,84,77,45,77,34,63,73,63,66,77,35,75,78,82,55,75,61,0,kent-bazemore
达米恩·李,SG,4,2,75,85,72,82,87,57,60,39,61,61,59,34,78,40,65,70,79,75,35,54,0,damion-lee
布拉德·沃纳梅克,PG,4,2,72,63,77,70,93,33,57,35,50,78,66,47,85,40,54,75,80,60,30,74,0,brad-wanamaker
乔丹·普尔,SG,4,3,72,68,67,75,80,47,65,28,48,69,41,42,75,45,60,73,80,75,30,65,0,jordan-poole
胡安·托斯卡诺·安德森,SF,4,3,75,60,65,79,68,67,67,62,79,63,70,56,68,40,70,75,83,70,60,40,0,juan-toscano-anderson
马基斯·克里斯,PF,2,3,76,84,74,53,77,57,58,70,84,52,46,83,68,90,85,79,78,80,40,69,0,marquese-chriss
凯文·卢尼,C,2,3,76,75,74,69,62,69,46,78,76,56,37,50,80,75,70,74,84,65,60,52,0,kevon-looney
