name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
达龙·福克斯,PG,1,1,86,86,74,78,68,34,79,34,46,85,60,51,85,25,80,84,80,95,70,84,0,deaaron-fox
马文·巴格利,PF,4,1,80,85,66,81,54,70,49,70,82,50,37,56,70,85,85,82,87,80,55,65,0,marvin-bagley-iii
巴迪·希尔德,SG,5,1,77,46,79,85,84,48,69,30,59,68,38,45,85,25,65,72,82,75,50,70,0,buddy-hield
哈里森·巴恩斯,SF,4,1,80,86,66,84,82,67,75,40,67,70,38,37,80,55,81,80,82,80,60,60,0,harrison-barnes
里乔恩·霍姆斯,C,3,1,82,94,84,60,81,75,40,80,82,48,38,81,78,85,75,74,82,90,50,75,0,richaun-holmes
哈桑·怀特塞德,C,3,2,80,82,71,39,55,83,53,78,94,44,36,93,70,85,71,68,66,60,75,50,0,hassan-whiteside
德朗·赖特,SG,4,2,77,57,65,81,79,33,75,45,60,83,73,56,79,25,60,76,84,80,55,65,0,delon-wright
泰雷斯·哈利伯顿,PG,4,2,82,90,82,87,83,60,74,42,49,81,66,56,84,40,65,77,80,85,65,60,0,tyrese-haliburton
莫里斯·哈克里斯,SF,5,2,72,69,58,78,59,60,76,45,59,52,56,60,78,55,82,75,85,40,70,37,0,maurice-harkless
克里斯·席尔瓦,PF,2,2,73,65,69,72,69,62,55,88,74,56,42,87,67,70,65,73,83,30,35,54,0,chris-silva
奇梅齐耶·梅图,C,2,3,73,84,40,61,77,67,51,79,76,47,59,51,70,80,70,70,83,45,40,50,0,chimezie-metu
贾斯廷·詹姆斯,SF,1,3,71,73,68,74,74,57,66,40,57,63,41,78,74,60,65,69,80,40,45,66,0,justin-james
特伦斯·戴维斯,PG,4,3,73,70,68,82,87,54,74,34,58,68,49,52,79,40,75,74,80,65,55,80,0,terence-davis
格伦·罗宾逊三世,SG,5,3,72,74,69,80,87,52,70,36,52,51,37,35,70,75,90,72,83,35,60,60,0,glenn-robinson-iii
