name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
克里斯·保罗,PG,1,1,87,90,91,79,90,61,90,35,60,87,62,42,80,25,27,76,77,70,85,40,1,chris-paul
德文·布克,SG,1,1,87,96,80,84,92,38,70,33,48,79,43,45,94,30,70,76,81,98,60,89,1,devin-booker
德安德烈·艾顿,C,3,1,83,89,82,65,77,78,49,79,94,56,31,68,79,90,75,79,81,80,65,75,0,deandre-ayton
杰·克劳德,PF,4,1,77,69,79,79,79,70,78,31,67,67,41,32,77,70,60,81,89,60,75,47,0,jae-crowder
米卡尔·布里奇斯,SF,4,1,82,83,79,84,82,69,82,51,61,74,85,72,75,40,75,83,84,80,80,35,0,mikal-bridges
卡梅伦·约翰逊,SF,4,2,79,78,77,81,76,55,55,56,66,54,41,58,64,60,60,75,78,80,65,51,0,cameron-johnson
达里奥·沙里奇,PF,4,2,77,76,89,75,83,70,49,37,85,64,43,42,79,45,70,72,81,75,65,40,0,dario-saric
卡梅伦·佩恩,PG,4,2,76,85,79,79,81,31,60,31,60,78,49,37,79,25,25,72,84,75,40,80,0,cameron-payne
弗兰克·卡明斯基,C,4,2,78,86,68,82,67,65,40,67,79,48,36,51,78,50,65,70,82,90,40,68,0,frank-kaminsky-iii
兰斯顿·加洛韦,SG,5,2,76,88,82,86,86,30,68,40,41,65,42,37,82,25,55,74,81,80,40,50,0,langston-galloway
阿卜杜勒·纳迪尔,SF,4,3,74,80,70,84,83,42,62,35,52,61,41,62,80,40,70,74,87,75,40,65,0,abdel-nader
杰伦·史密斯,PF,1,3,72,74,77,70,72,70,48,66,73,38,42,76,60,85,80,72,80,60,55,47,0,jalen-smith
杰文·卡特,PG,5,3,72,64,73,71,81,34,79,37,53,68,63,67,75,25,35,75,81,60,70,40,0,jevon-carter
伊托万·摩尔,SG,1,3,73,85,65,76,67,43,62,41,51,67,42,47,73,25,55,75,83,80,40,44,0,etwaun-moore
达米安·琼斯,C,2,3,73,84,66,57,74,76,40,67,66,37,42,77,75,85,75,76,78,45,65,64,0,damian-jones
