name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
达米安·利拉德,PG,4,1,94,82,90,86,93,25,69,31,54,91,42,40,95,25,85,88,98,98,55,94,1,damian-lillard
CJ·麦科勒姆,SG,5,1,87,76,97,90,84,35,68,33,52,79,53,45,80,30,40,83,80,98,60,69,1,cj-mccollum
优素福·努尔基奇,C,3,1,80,86,80,66,56,78,45,66,88,62,56,76,68,75,65,66,72,70,70,70,0,jusuf-nurkic
罗伯特·科温顿,PF,4,1,77,74,69,77,86,79,83,38,75,59,73,71,68,55,65,73,82,35,80,34,0,robert-covington
小德里克·琼斯,SF,4,1,76,77,65,74,61,60,59,61,55,54,42,77,79,85,94,79,78,70,30,66,0,derrick-jones-jr
诺曼·鲍威尔,SG,4,2,82,89,85,87,90,50,79,33,49,67,56,37,77,25,80,79,82,85,75,69,0,norman-powell
埃内斯·坎特,C,2,2,81,81,77,55,74,52,26,92,93,47,37,65,79,85,60,71,82,85,25,69,0,enes-kanter
卡梅罗·安东尼,SF,5,2,80,80,79,83,85,63,62,36,55,66,56,68,75,55,70,76,79,85,40,50,0,carmelo-anthony
纳西尔·利特尔,PF,4,2,75,74,76,79,64,68,70,57,60,49,33,62,79,35,82,80,80,70,55,50,0,nassir-little
安芬尼·西蒙斯,PG,5,2,75,76,80,84,85,34,59,31,61,70,32,47,73,40,89,75,80,80,30,69,0,anfernee-simons
扎克·科林斯,PF,4,3,75,88,50,76,75,68,45,49,48,41,35,74,72,70,65,73,80,55,50,63,0,zach-collins
哈里·贾尔斯,C,3,3,73,77,82,67,77,68,42,69,89,55,36,71,80,85,75,73,79,50,35,62,0,harry-giles
CJ·艾勒比,SF,4,3,68,64,70,71,76,48,67,32,60,53,60,47,65,40,50,71,81,40,50,52,0,cj-elleby
