name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
科怀·伦纳德,SF,1,1,96,97,88,84,87,79,97,41,67,79,86,53,90,55,85,84,82,98,98,80,1,kawhi-leonard
保罗·乔治,SG,4,1,90,94,92,90,89,79,92,40,68,78,46,53,85,55,85,83,93,90,90,60,0,paul-george
赛尔吉·伊巴卡,C,1,1,81,87,89,79,82,80,56,65,82,42,31,82,71,80,80,74,94,85,75,59,0,serge-ibaka
尼古拉斯·巴图姆,PF,5,1,77,79,88,88,82,66,73,41,62,66,59,51,74,55,60,72,83,70,60,35,0,nicolas-batum
帕特里克·贝弗利,PG,4,1,78,89,44,84,78,70,92,48,57,70,56,67,70,25,45,79,78,40,95,38,0,patrick-beverley
马库斯·莫里斯,PF,5,2,78,72,86,89,81,64,68,41,60,49,38,50,83,55,70,75,86,75,60,64,0,marcus-morris-sr
卢克·肯纳德,SF,4,2,74,86,62,88,83,35,51,32,57,68,35,45,70,30,40,71,80,70,30,45,0,luke-kennard
伊维察·祖巴茨,C,2,2,79,94,74,26,82,77,34,86,86,43,36,75,76,80,75,63,80,85,35,75,0,ivica-zubac
雷吉·杰克逊,PG,4,2,77,78,79,84,76,49,74,35,54,79,42,35,86,25,65,81,84,70,70,75,0,reggie-jackson
路易斯·威廉姆斯,SG,1,2,80,76,75,83,87,25,60,35,48,79,56,32,80,25,45,70,77,90,45,80,1,lou-williams
帕特里克·帕特森,SF,5,3,72,74,70,81,71,75,66,51,63,41,31,35,60,75,60,71,82,40,65,52,0,patrick-patterson
姆菲翁杜·卡本盖莱,PF,4,3,72,70,74,64,76,74,58,72,68,44,44,81,68,80,80,76,80,40,50,40,0,mfiondu-kabengele
丹尼尔·奥图鲁,C,2,3,71,73,69,69,67,76,40,70,76,42,38,70,68,75,70,67,84,40,60,41,0,daniel-oturu
特伦斯·曼恩,SG,1,3,72,73,74,78,75,54,66,57,67,69,41,45,77,45,75,74,80,65,40,51,0,terance-mann
