name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
尼古拉·约基奇,C,1,1,95,98,97,86,89,73,61,74,90,89,70,75,89,90,75,79,83,98,65,97,1,nikola-jokic
贾马尔·默里,PG,1,1,86,95,83,84,84,35,79,36,52,83,46,47,90,30,82,78,78,90,70,78,0,jamal-murray
小迈克尔·波特,SF,4,1,83,85,82,84,77,60,64,51,81,59,43,76,84,60,80,78,66,85,40,65,0,michael-porter-jr
阿龙·戈登,PF,4,1,80,79,65,80,61,78,80,55,77,65,40,67,83,95,95,82,84,75,80,74,0,aaron-gordon
威尔·巴顿,SG,4,1,77,79,76,81,76,33,80,36,57,72,41,52,79,40,83,74,80,75,75,60,0,will-barton
保罗·米尔萨普,PF,4,2,79,79,76,83,70,82,78,62,67,61,49,62,73,70,70,76,91,65,80,60,0,paul-millsap
蒙特·莫里斯,PG,1,2,79,83,80,81,75,44,62,29,46,85,41,50,79,25,50,74,81,85,35,66,0,monte-morris
贾维尔·麦基,C,2,2,78,82,64,68,61,80,47,74,89,38,43,89,64,95,85,70,80,60,65,65,0,javale-mcgee
杰迈克尔·格林,SF,4,2,77,82,70,85,84,69,51,67,84,46,42,52,69,70,70,72,81,75,35,66,0,jamychal-green
PJ多齐尔,SG,4,2,75,63,84,78,64,48,74,50,70,63,40,70,75,50,75,75,81,65,50,42,0,pj-dozier
法昆多·坎帕佐,PG,4,3,74,82,74,81,81,40,70,31,40,78,87,53,72,25,25,72,80,75,50,50,0,facundo-campazzo
波尔·波尔,C,4,3,71,78,79,77,75,72,52,67,84,49,47,86,64,85,70,67,77,50,40,62,0,bol-bol
泽克·纳吉,PF,4,3,73,79,76,78,76,69,54,66,64,35,32,35,77,80,70,80,83,75,45,64,0,zeke-nnaji
加里·克拉克,SF,4,3,71,75,78,63,80,69,73,51,56,48,36,45,66,55,60,70,80,50,65,54,0,gary-clark
