name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
卡尔·安东尼·唐斯,C,4,1,89,78,80,83,92,69,50,68,87,69,41,82,85,95,75,83,82,95,55,90,0,karl-anthony-towns
丹吉洛·拉塞尔,PG,5,1,83,89,79,84,75,40,64,33,45,83,53,53,89,25,45,75,83,80,35,75,0,dangelo-russell
贾里德·范德比尔特,PF,2,1,76,58,59,59,56,68,68,70,84,52,83,68,83,75,75,76,78,75,65,50,0,jarred-vanderbilt
马利克·比斯利,SF,4,1,81,85,90,85,85,48,66,37,57,66,40,37,85,45,78,77,84,85,45,72,0,malik-beasley
安东尼·爱德华兹,SG,1,1,77,60,61,74,80,50,74,36,57,66,42,51,84,50,80,81,83,85,55,62,0,anthony-edwards
纳兹·里德,C,4,2,78,91,70,77,73,77,54,76,79,56,42,83,79,80,75,73,80,80,55,74,0,naz-reid
约什·奥科吉,SG,4,2,73,41,69,60,76,50,81,48,48,60,59,61,70,30,75,80,82,30,75,40,0,josh-okogie
里基·卢比奥,PG,1,2,75,67,73,72,82,32,78,33,55,85,70,25,74,25,25,69,80,35,60,48,0,ricky-rubio
贾勒特·卡尔弗,SF,4,2,73,73,75,70,60,52,70,67,74,61,46,51,74,55,75,80,80,45,45,49,0,jarrett-culver
胡安·埃尔南戈麦斯,PF,4,2,73,30,68,74,62,64,64,47,85,53,38,42,68,60,70,71,83,50,55,42,0,juan-hernangomez
乔丹·麦克劳克林,PG,4,3,73,72,74,79,67,25,68,38,50,82,66,40,81,25,65,72,83,70,50,59,0,jordan-mclaughlin
杰克·莱曼,PF,4,3,74,68,78,74,78,60,66,34,49,55,76,66,79,65,70,73,79,70,45,62,0,jake-layman
杰登·麦克丹尼尔斯,SF,4,3,72,84,70,79,52,60,60,41,65,49,36,82,82,40,75,76,90,55,40,52,0,jaden-mcdaniels
埃德·戴维斯,C,2,3,74,74,52,25,62,67,40,89,86,44,53,71,60,75,69,72,81,30,50,42,0,ed-davis
