name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
多曼塔斯·萨博尼斯,PF,3,1,87,80,74,75,72,70,49,64,89,74,46,52,86,70,75,72,86,95,50,88,0,domantas-sabonis
TJ·沃伦,SF,1,1,84,91,82,78,81,54,62,34,53,60,35,40,92,50,80,72,84,90,50,75,0,tj-warren
马尔科姆·布罗格登,PG,1,1,83,81,90,84,91,65,77,37,56,85,42,37,76,40,70,79,84,90,65,88,0,malcolm-brogdon
卡里斯·勒韦尔,SG,1,1,82,78,71,76,77,45,74,38,56,77,70,45,87,60,75,76,78,95,60,76,0,caris-levert
迈尔斯·特纳,C,4,1,80,85,79,77,80,85,52,48,71,41,42,97,79,80,65,72,83,80,80,76,0,myles-turner
杰里米·兰姆,SG,4,2,79,83,78,86,94,45,69,43,61,66,49,61,75,40,70,73,82,90,50,65,0,jeremy-lamb
TJ·麦康奈尔,PG,3,2,79,94,83,76,83,49,80,41,56,84,96,52,79,25,25,73,83,80,80,40,0,tj-mcconnell
道格·麦克德莫特,PF,4,2,78,88,78,82,82,52,58,47,55,59,31,32,77,50,65,65,83,90,40,60,0,doug-mcdermott
戈加·比塔泽,C,3,2,75,75,80,56,74,64,25,86,70,54,35,93,73,75,65,69,80,70,35,57,0,goga-bitadze
贾斯汀·霍勒迪,SF,4,2,73,49,79,82,82,60,75,34,53,60,59,47,73,60,73,71,78,55,65,50,0,justin-holiday
埃德蒙·萨姆纳,SG,4,3,74,60,72,80,72,44,62,40,53,58,53,42,66,50,80,78,82,75,35,64,0,edmond-sumner
亚卡尔·桑普森,C,2,3,73,84,70,68,81,60,77,49,61,51,41,62,74,65,75,71,81,60,70,55,0,jakarr-sampson
阿龙·霍勒迪,PG,4,3,73,68,68,78,73,34,68,30,42,76,49,40,76,25,60,74,84,65,45,47,0,aaron-holiday
凯勒·马丁,SF,4,3,69,86,73,64,78,40,69,37,72,57,33,55,72,40,60,66,83,50,45,40,0,kelan-martin
卡修斯·斯坦利,PF,4,3,69,68,67,75,73,37,54,37,59,52,32,30,69,55,92,79,85,40,40,52,0,cassius-stanley
