name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
勒布朗·詹姆斯,SF,1,1,97,89,75,82,69,83,89,50,84,90,46,55,98,75,91,91,97,98,70,75,1,lebron-james
安东尼·戴维斯,PF,3,1,94,96,76,74,72,97,80,60,79,68,59,83,83,95,88,87,78,90,95,75,1,anthony-davis
丹尼斯·施罗德,PG,1,1,77,77,89,77,83,34,73,35,51,82,42,40,80,25,45,79,80,70,60,65,0,dennis-schroder
肯塔维厄斯·考德威尔·波普,SG,4,1,75,73,73,84,85,45,77,35,45,67,43,47,76,35,73,77,84,65,70,45,0,kentavious-caldwell-pope
安德烈·德拉蒙德,C,2,1,83,81,47,47,60,83,52,90,97,58,83,76,73,95,85,78,81,60,70,45,0,andre-drummond
蒙特雷兹·哈勒尔,C,2,2,83,96,79,37,76,77,47,74,71,40,42,66,88,90,85,79,83,85,70,69,0,montrezl-harrell
凯尔·库兹马,PF,4,2,77,76,70,79,66,61,63,67,73,64,33,62,80,75,75,78,83,75,55,47,0,kyle-kuzma
韦斯利·马修斯,SF,4,2,73,68,68,77,76,38,78,35,40,65,38,56,78,45,50,74,84,35,70,45,0,wesley-matthews
塔伦·霍顿·塔克,SG,4,2,75,59,82,67,83,44,74,35,59,67,66,70,70,30,65,73,80,75,50,74,0,talen-horton-tucker
亚历克斯·卡鲁索,PG,4,2,73,47,55,84,70,31,78,41,54,75,76,47,78,35,75,73,81,70,75,55,0,alex-caruso
贾里德·杜德利,PF,5,3,71,75,86,84,70,65,64,34,58,53,53,45,70,40,35,67,86,55,65,44,0,jared-dudley
阿方索·麦金尼,SG,4,3,71,80,74,77,56,65,66,59,62,49,56,51,70,70,65,74,83,40,50,51,0,alfonzo-mckinnie
马基夫·莫里斯,SF,4,3,74,84,72,78,69,75,42,49,74,50,33,53,67,65,67,73,92,50,55,50,0,markieff-morris
马克·加索尔,C,4,3,75,86,65,80,81,85,60,45,71,62,40,87,60,70,60,59,79,40,80,50,0,marc-gasol
本·麦科勒摩,PG,4,3,72,60,70,76,76,55,65,35,56,66,56,32,78,40,80,76,84,70,60,69,0,ben-mclemore
