name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
贾·莫兰特,PG,1,1,85,81,73,74,79,39,75,38,47,88,46,37,89,25,94,81,80,95,50,75,0,ja-morant
小贾伦·杰克逊,PF,4,1,83,82,80,83,74,83,71,43,60,48,38,85,79,85,80,77,94,75,80,75,0,jaren-jackson-jr
约纳斯·瓦兰丘纳斯,C,3,1,83,97,74,81,75,75,43,86,93,44,37,62,59,80,65,73,81,80,60,70,0,jonas-valanciunas
凯尔·安德森,SF,3,1,81,96,81,83,75,60,79,43,79,76,63,62,79,55,45,69,83,85,75,62,0,kyle-anderson
狄龙·布鲁克斯,SG,1,1,76,81,85,75,81,57,81,42,45,60,66,52,79,35,65,74,85,65,75,51,0,dillon-brooks
布兰登·克拉克,PF,3,2,81,87,66,76,66,78,75,55,68,57,63,62,68,80,84,82,80,85,75,65,0,brandon-clarke
泰厄斯·琼斯,PG,1,2,75,89,76,71,85,30,67,36,52,80,86,40,79,25,30,71,84,80,50,69,0,tyus-jones
丹东尼·梅尔顿,SG,4,2,77,77,60,83,76,48,81,36,63,75,80,73,79,25,65,74,83,75,75,50,0,deanthony-melton
贾斯蒂斯·温斯洛,SF,3,2,76,80,72,69,68,63,79,51,68,70,37,53,74,40,70,79,82,70,70,62,0,justise-winslow
泽维尔·蒂尔曼,C,3,2,77,89,63,70,74,78,66,75,78,58,66,73,74,70,65,70,80,75,75,60,0,xavier-tillman
戈尔吉·吉昂,C,4,3,76,85,76,83,88,69,43,65,79,43,66,75,59,70,64,70,83,75,65,70,0,gorgui-dieng
德斯蒙德·贝恩,PF,4,3,76,89,79,88,87,34,66,35,53,65,43,40,71,35,69,68,78,75,35,47,0,desmond-bane
格雷森·阿伦,SG,5,3,76,85,76,85,90,35,72,32,53,66,59,37,78,25,70,76,82,75,45,69,0,grayson-allen
约翰·康查尔,SF,4,3,74,72,74,79,70,44,62,56,71,66,80,56,75,30,45,71,84,85,45,44,0,john-konchar
