name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
吉米·巴特勒,SF,3,1,90,83,83,72,86,75,90,62,71,85,86,51,87,40,80,82,81,80,90,74,1,jimmy-butler
巴姆·阿德巴约,C,3,1,88,88,80,69,85,86,79,62,83,72,41,72,87,90,85,84,90,95,90,84,0,bam-adebayo
泰勒·希罗,PG,1,1,80,89,88,81,77,46,69,33,69,78,36,52,86,30,60,75,80,85,50,78,0,tyler-herro
邓肯·罗宾逊,SG,4,1,75,74,69,86,84,50,52,26,56,61,33,42,75,30,70,67,83,80,30,70,0,duncan-robinson
凯利·奥利尼克,PF,4,1,74,85,75,76,73,67,50,45,73,53,43,62,70,70,60,63,82,60,65,74,0,kelly-olynyk
戈兰·德拉季奇,SG,4,2,80,87,86,80,83,32,73,32,52,82,38,40,90,25,45,76,84,85,70,79,0,goran-dragic
安德烈·伊戈达拉,SF,4,2,73,70,70,76,58,77,84,41,65,73,73,63,70,55,80,78,82,30,80,30,0,andre-iguodala
迈耶斯·伦纳德,C,4,2,75,86,80,86,84,70,43,41,85,39,32,55,70,70,70,62,80,55,60,45,0,meyers-leonard
普雷舍斯·阿丘瓦,PF,2,2,78,69,69,30,54,75,56,85,84,42,42,81,60,85,75,79,76,75,55,64,0,precious-achiuwa
埃弗里·布拉德利,PG,4,2,76,88,86,83,75,60,84,32,45,64,53,40,70,25,50,76,80,30,80,40,0,avery-bradley
克里斯·席尔瓦,PF,2,3,72,65,69,72,69,62,55,88,74,56,42,87,67,70,65,73,83,30,35,54,0,chris-silva
莫里斯·哈克里斯,SF,5,3,72,69,58,78,59,60,76,45,59,52,56,60,78,55,82,75,85,40,70,37,0,maurice-harkless
肯德里克·纳恩,PG,5,3,77,82,85,81,91,35,62,34,50,71,56,51,85,25,75,75,82,80,45,37,0,kendrick-nunn
