name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
多诺万·米切尔,SG,4,1,88,84,83,83,85,58,79,40,51,80,42,42,85,50,92,87,80,95,75,75,1,donovan-mitchell
鲁迪·戈贝尔,C,2,1,88,64,63,25,62,96,64,80,95,48,36,92,79,95,75,67,81,70,95,70,0,rudy-gobert
迈克·康利,PG,4,1,84,91,83,84,85,31,83,38,48,87,66,37,84,25,30,79,82,90,80,75,0,mike-conley
博扬·波格丹诺维奇,PF,4,1,77,82,60,82,87,54,78,34,52,68,36,30,73,40,70,73,84,70,70,50,0,bojan-bogdanovic
罗伊斯·奥尼尔,SF,4,1,73,81,67,82,86,68,83,46,71,58,40,51,74,55,70,70,82,30,80,59,0,royce-oneale
乔·英格尔斯,SF,4,2,82,94,80,90,84,58,84,34,53,77,40,40,80,40,45,69,80,85,80,37,0,joe-ingles
乔丹·克拉克森,PG,4,2,79,90,70,77,92,43,65,40,56,75,49,37,86,25,75,78,83,85,40,89,0,jordan-clarkson
德里克·费沃斯,C,2,2,79,89,71,52,74,75,63,91,82,48,46,86,78,85,70,73,80,50,65,50,0,derrick-favors
乔治·尼昂,PF,4,2,73,85,76,85,83,60,55,39,60,59,36,40,70,25,50,66,84,75,40,51,0,georges-niang
马特·托马斯,SG,5,2,72,72,83,81,90,48,51,34,52,57,31,25,67,35,55,70,85,60,45,48,0,matt-thomas
米耶·奥尼,PG,4,3,70,70,66,76,79,55,69,49,57,59,36,55,69,30,70,75,80,50,45,37,0,miye-oni
乌多卡·阿祖布伊克,C,2,3,71,64,34,25,44,76,44,76,75,31,31,77,70,85,75,79,83,65,60,50,0,udoka-azubuike
伊莱贾·休斯,SG,5,3,70,69,72,76,77,49,64,33,54,57,46,40,69,45,70,75,84,65,40,51,0,elijah-hughes
朱万·摩根,PF,1,3,70,69,71,70,69,65,57,70,70,45,54,71,60,70,65,66,79,50,50,47,0,juwan-morgan
艾森·伊利亚索瓦,SF,4,3,76,77,80,85,83,65,51,46,77,52,68,58,71,55,55,64,69,70,40,50,0,ersan-ilyasova
