name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
卢卡·东契奇,PG,1,1,94,96,93,84,76,48,73,37,82,92,42,56,96,55,70,84,85,98,65,96,0,luka-doncic
克里斯塔普斯·波尔津吉斯,C,1,1,86,84,94,80,86,83,56,57,85,49,33,85,78,90,75,77,77,90,65,88,0,kristaps-porzingis
约什·理查德森,SG,4,1,77,87,85,77,90,69,87,39,48,66,42,51,75,50,78,79,83,55,85,40,0,josh-richardson
马克西·克勒贝尔,PF,4,1,75,77,75,86,93,74,72,42,69,59,36,65,70,75,75,67,80,40,70,50,0,maxi-kleber
多里安·芬尼·史密斯,SF,4,1,73,76,71,80,72,72,79,52,56,55,41,51,67,40,84,72,81,75,70,48,0,dorian-finney-smith
杰伦·布伦森,PG,1,2,81,94,89,84,85,55,70,33,59,82,38,25,77,40,50,74,81,85,35,65,0,jalen-brunson
小蒂姆·哈达威,SF,4,2,80,81,81,84,80,45,70,31,53,69,36,35,70,35,78,74,83,80,40,82,0,tim-hardaway-jr
威利·考利·斯坦,C,2,2,77,79,37,49,65,76,51,65,77,53,36,80,79,85,70,79,84,80,65,73,0,willie-cauley-stein
德怀特·鲍威尔,PF,2,2,76,67,65,64,75,74,45,66,66,54,46,62,70,75,65,76,83,95,65,83,0,dwight-powell
约什·格林,SG,4,2,72,70,68,77,78,35,75,57,58,56,40,42,70,30,75,79,83,50,60,40,0,josh-green
特雷·伯克,SG,4,3,76,85,86,80,87,48,63,29,39,76,53,35,74,25,30,74,80,90,35,55,0,trey-burke
JJ·雷迪克,SF,5,3,75,56,89,86,96,35,68,27,48,62,35,35,74,25,25,66,81,70,45,50,0,jj-redick
博班·马里亚诺维奇,C,2,3,75,79,70,63,77,73,30,88,93,40,27,57,50,95,60,49,65,55,65,70,0,boban-marjanovic
尼克洛·梅利,PF,4,3,74,80,85,70,73,62,40,53,76,49,46,47,62,60,50,64,68,65,40,52,0,nicolo-melli
泰雷尔·特里,PG,5,3,71,70,77,78,88,30,55,30,49,72,44,30,74,25,40,71,80,65,35,50,0,tyrell-terry
