name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
弗雷德·范弗利特,SG,4,1,86,80,85,83,88,27,83,36,52,85,56,55,85,25,35,78,82,95,80,72,0,fred-vanvleet
帕斯卡尔·西亚卡姆,PF,1,1,84,70,85,74,80,86,79,55,64,74,38,57,79,85,80,81,82,80,80,55,0,pascal-siakam
凯尔·洛瑞,PG,4,1,83,55,80,82,86,68,86,39,65,82,41,37,88,25,25,83,79,75,85,55,0,kyle-lowry
OG·阿奴诺比,SF,4,1,79,66,76,83,69,76,87,47,60,57,90,56,74,60,85,80,81,60,85,41,0,og-anunoby
阿隆·贝恩斯,C,4,1,75,76,70,67,75,74,37,65,80,41,28,42,60,65,65,67,80,55,75,64,0,aron-baynes
克里斯·布歇,C,4,2,80,87,84,85,80,78,37,70,85,38,40,93,79,85,80,75,77,50,70,89,0,chris-boucher
诺曼·鲍威尔,SG,4,2,80,79,85,86,84,50,79,35,49,65,63,50,77,25,80,79,82,85,75,69,0,norman-powell
特伦斯·戴维斯,PG,4,2,75,58,68,82,87,54,74,47,66,72,42,51,79,40,75,74,80,85,55,80,0,terence-davis
德安德烈·本布里,SF,4,2,74,89,55,75,65,52,75,45,61,70,79,56,84,45,75,73,82,75,60,72,0,deandre-bembry
斯坦利·约翰逊,PF,4,2,73,89,79,79,78,55,78,54,69,58,86,63,72,35,70,73,84,35,50,50,0,stanley-johnson
马特·托马斯,SG,5,3,75,72,82,88,90,48,51,36,58,57,40,25,67,35,55,70,85,75,45,48,0,matt-thomas
帕特里克·麦考,PG,4,3,73,66,71,75,87,54,75,36,43,61,59,35,73,40,75,73,82,35,60,57,0,patrick-mccaw
渡边雄太,PF,1,3,72,77,60,83,80,58,63,60,79,60,38,54,66,40,60,73,80,75,50,55,0,yuta-watanabe
