name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
凯文·杜兰特,PF,1,1,96,95,96,90,87,68,85,64,78,83,37,72,95,60,85,81,88,98,85,94,1,kevin-durant
詹姆斯·哈登,SG,4,1,95,90,86,85,86,62,70,37,78,91,43,56,98,35,84,90,95,98,65,98,1,james-harden
凯里·欧文,PG,1,1,91,97,98,83,89,32,73,43,53,88,49,53,96,25,30,80,80,98,60,89,1,kyrie-irving
乔·哈里斯,SF,4,1,79,89,82,92,69,34,66,36,51,64,36,40,66,25,45,69,83,90,55,55,0,joe-harris
德安德烈·乔丹,C,2,1,79,74,25,25,52,80,57,73,86,40,33,83,57,97,85,81,94,40,80,69,0,deandre-jordan
斯潘塞·丁威迪,PG,4,2,83,74,66,76,78,42,74,33,48,87,37,47,92,35,45,73,77,98,70,94,0,spencer-dinwiddie
杰夫·格林,SF,4,2,76,83,76,86,80,69,70,35,58,62,37,51,85,65,80,75,82,65,60,65,0,jeff-green
布雷克·格里芬,PF,4,2,78,79,45,76,71,73,59,31,72,73,41,37,78,85,80,82,88,50,55,42,0,blake-griffin
布鲁斯·布朗,SG,3,2,77,88,76,65,72,58,77,65,63,68,49,51,80,30,70,81,84,70,65,65,0,bruce-brown-jr
拉马库斯·阿尔德里奇,C,1,2,81,83,96,81,84,74,48,40,66,53,35,72,70,70,69,70,80,70,65,62,0,lamarcus-aldridge
尼克拉斯·克拉克斯顿,C,2,3,77,83,64,67,64,74,64,71,73,43,49,89,78,80,75,76,80,80,55,66,0,nicolas-claxton
兰德里·沙梅特,SG,5,3,71,78,60,79,87,25,60,30,47,67,38,42,74,35,50,77,81,40,35,52,0,landry-shamet
克里斯·奇奥萨,PG,4,3,72,69,73,75,76,31,68,34,49,78,46,58,70,25,30,71,81,50,45,40,0,chris-chiozza
雷吉·佩里,PF,4,3,72,68,70,68,75,66,59,72,74,47,40,60,65,80,75,78,84,55,45,44,0,reggie-perry
蒂莫泰·卢瓦乌·卡巴罗,SF,4,3,71,53,65,76,77,55,75,38,52,65,49,40,78,40,75,75,81,45,45,55,0,timothe-luwawu-cabarrot
