name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
谢伊·吉尔杰斯·亚历山大,SG,4,1,87,95,81,85,79,51,78,34,61,88,40,56,88,40,75,82,80,98,70,82,0,shai-gilgeous-alexander
吕冈茨·多尔特,SF,4,1,79,74,80,77,75,52,83,36,51,58,42,51,79,50,85,81,80,75,80,60,0,luguentz-dort
达里厄斯·贝兹利,PF,4,1,76,66,72,72,68,55,56,55,80,51,35,53,79,50,80,74,80,85,35,54,0,darius-bazley
泰奥·马勒东,PG,4,1,75,76,79,78,77,37,56,32,52,80,43,37,79,35,50,72,80,75,30,64,0,theo-maledon
摩西·布朗,C,2,1,78,70,46,26,62,72,52,93,87,43,46,80,72,75,60,62,80,55,45,68,0,moses-brown
斯维亚托斯拉夫·米哈伊柳克,SG,4,2,72,52,80,76,77,37,55,35,53,61,49,45,74,40,55,73,79,75,30,62,0,sviatoslav-mykhailiuk
托尼·布拉德利,C,2,2,76,82,66,26,67,72,35,90,84,46,40,80,74,75,60,68,80,65,55,65,0,tony-bradley-jr
以赛亚·罗比,PF,4,2,76,87,70,73,75,62,60,65,72,49,53,62,75,75,75,74,80,70,50,60,0,isaiah-roby
肯里奇·威廉姆斯,SF,4,2,76,86,81,80,57,62,63,56,61,68,49,50,74,40,65,72,80,70,45,55,0,kenrich-williams
泰·杰罗姆,PG,4,2,76,84,75,85,73,40,66,32,51,82,40,42,78,40,45,72,80,75,50,65,0,ty-jerome
贾斯汀·杰克逊,SF,5,3,74,92,84,74,80,40,64,38,53,65,38,30,80,35,60,74,80,65,40,52,0,justin-jackson
阿列克谢·波库舍夫斯基,PF,1,3,73,68,70,66,79,67,67,40,69,57,36,76,71,70,70,65,79,65,50,40,0,aleksej-pokusevski
迈克·穆斯卡拉,C,4,3,77,89,80,80,91,68,53,66,69,49,32,55,64,75,60,65,79,85,45,59,0,mike-muscala
杰伦·霍尔德,PG,3,3,69,62,63,64,67,52,69,66,58,54,59,47,70,40,75,71,80,60,35,44,0,jaylen-hoard
加布里埃尔·戴克,SG,4,3,74,70,75,77,83,55,56,59,64,67,50,53,74,40,65,73,79,65,35,60,0,gabriel-deck
