name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
贾勒特·阿伦,C,2,1,84,87,70,59,73,82,41,87,88,37,35,86,74,85,75,80,82,90,80,78,0,jarrett-allen
科林·塞克斯顿,SG,1,1,83,93,79,84,80,45,67,35,40,78,43,32,88,30,75,84,81,98,50,68,0,collin-sexton
凯文·乐福,PF,4,1,82,88,96,81,85,69,50,60,93,64,36,47,72,75,50,74,77,80,50,73,0,kevin-love
小拉里·南斯,SF,4,1,78,88,84,82,57,68,48,47,71,64,90,53,82,85,85,77,83,70,55,60,0,larry-nance-jr
达里厄斯·加兰,PG,1,1,77,86,77,82,85,31,65,33,40,80,53,32,79,25,65,81,80,80,40,45,0,darius-garland
以赛亚·哈尔滕施泰因,C,2,2,75,86,70,68,59,60,41,89,69,50,63,89,68,75,65,72,77,70,40,59,0,isaiah-hartenstein
艾萨克·奥克罗,SG,4,2,73,59,60,72,67,60,78,41,39,60,49,55,76,45,75,79,82,30,65,55,0,isaac-okoro
切迪·奥斯曼,SF,4,2,73,66,74,77,80,65,76,40,58,71,49,35,76,46,61,73,75,50,65,39,0,cedi-osman
丹伊恩·多特森,PG,5,2,71,66,85,70,69,33,66,29,49,58,37,42,73,40,60,73,80,70,45,44,0,damyean-dotson
托里恩·普林斯,PF,4,2,73,61,74,83,85,64,74,38,66,59,43,67,76,75,70,79,81,55,60,45,0,taurean-prince
马修·戴拉维多瓦,PG,4,3,70,88,80,58,89,30,82,36,44,76,40,30,68,25,25,71,81,30,75,38,0,matthew-dellavedova
迪伦·温德勒,SG,5,3,73,86,79,80,83,42,60,44,77,60,49,62,80,35,50,71,80,65,35,47,0,dylan-windler
迪恩·韦德,PF,4,3,73,67,68,80,70,50,44,47,67,47,36,56,60,80,75,72,79,65,45,60,0,dean-wade
拉玛尔·史蒂文斯,SF,3,3,71,80,67,66,72,60,62,43,68,56,46,61,70,65,80,80,80,65,40,35,0,lamar-stevens
