name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
尼古拉·武切维奇,C,1,1,87,96,88,85,84,76,41,87,93,68,42,56,78,85,65,72,77,98,55,86,0,nikola-vucevic
乔纳森·艾萨克,PF,1,1,82,65,76,77,77,80,86,56,74,58,83,93,67,60,82,78,67,30,85,35,0,jonathan-isaac
阿龙·戈登,SF,4,1,80,79,65,80,61,78,80,55,77,65,40,67,83,95,95,82,84,75,80,74,0,aaron-gordon
埃文·富尼耶,SG,4,1,82,91,84,81,79,38,69,29,57,78,49,52,83,25,50,72,86,90,65,66,0,evan-fournier
马克尔·富尔茨,PG,3,1,78,88,76,69,72,50,75,36,50,83,53,45,90,30,75,80,80,75,40,79,0,markelle-fultz
特伦斯·罗斯,SG,5,2,77,91,79,77,89,51,68,30,53,66,56,56,79,50,85,73,82,80,60,48,0,terrence-ross
穆罕默德·班巴,C,4,2,74,46,65,79,67,77,48,80,85,41,37,95,66,85,70,75,81,35,65,50,0,mohamed-bamba
迈克尔·卡特·威廉姆斯,PG,3,2,74,71,45,52,74,58,75,57,57,62,60,57,84,40,60,75,82,60,70,72,0,michael-carter-williams
艾尔·法鲁克·阿米奴,PF,4,2,75,60,52,70,66,79,77,57,71,57,70,58,72,55,70,73,82,65,75,54,0,al-farouq-aminu
詹姆斯·恩尼斯,SF,4,2,76,84,82,84,79,68,72,50,61,61,56,51,76,70,72,67,80,75,65,50,0,james-ennis
肯·伯奇,C,3,3,76,84,50,62,74,77,48,84,70,33,43,72,61,75,70,77,83,75,65,59,0,khem-birch
丘马·奥基基,SF,5,3,72,62,79,80,72,63,80,47,55,63,56,56,70,45,50,73,80,40,45,40,0,chuma-okeke
加里·克拉克,PF,4,3,71,75,78,63,80,69,73,51,56,48,36,45,66,55,60,70,80,50,65,54,0,gary-clark
