name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
蔡恩·威廉森,PF,3,1,88,92,66,70,65,73,64,77,67,65,49,56,90,95,97,88,80,95,45,89,0,zion-williamson
布兰登·英格拉姆,SF,1,1,86,89,88,83,86,61,69,39,67,75,37,68,80,65,84,75,85,95,40,62,0,brandon-ingram
埃里克·布莱索,PG,4,1,78,74,72,83,75,59,86,35,50,76,49,53,84,25,70,79,81,60,85,35,0,eric-bledsoe
史蒂文·亚当斯,C,3,1,80,87,65,26,59,87,55,85,72,51,53,67,74,85,75,71,82,65,85,65,0,steven-adams
朗佐·鲍尔,SG,4,1,78,55,76,81,57,60,86,32,57,83,46,62,74,30,75,77,80,35,85,50,0,lonzo-ball
JJ·雷迪克,SG,5,2,75,56,89,86,90,35,68,29,47,59,32,37,74,25,25,66,81,70,45,50,0,jj-redick
贾克森·海斯,C,2,2,76,74,68,54,63,79,48,82,80,36,33,82,71,85,80,74,80,80,65,52,0,jaxson-hayes
约什·哈特,SF,4,2,76,88,64,78,75,46,72,75,87,68,42,32,85,25,70,78,82,65,65,69,0,josh-hart
尼克洛·梅利,PF,4,2,74,80,85,73,73,62,40,36,74,48,56,51,62,60,50,64,68,65,40,52,0,nicolo-melli
尼基尔·亚历山大·沃克,PG,4,2,75,89,84,72,57,52,75,34,62,73,70,40,70,40,60,75,80,65,55,54,0,nickeil-alexander-walker
吉列尔莫·埃尔南戈麦斯,C,2,3,75,86,74,60,63,70,41,80,89,38,41,56,54,75,65,66,80,65,50,62,0,willy-hernangomez
小凯拉·刘易斯,SG,5,3,74,65,68,80,79,34,67,34,49,79,66,35,74,25,45,78,84,55,40,50,0,kira-lewis
辛达里厄斯·桑韦尔,SF,4,3,71,68,75,69,74,54,70,33,57,58,63,57,75,40,45,72,83,60,55,45,0,sindarius-thornwell
