name,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul,isMrClutch,enName
戈登·海沃德,SF,1,1,85,91,88,86,86,56,73,38,62,74,49,51,87,40,75,77,78,90,65,70,0,gordon-hayward
特里·罗齐尔,SG,4,1,82,93,86,87,82,55,75,34,52,79,56,51,82,40,70,81,82,95,50,70,0,terry-rozier
科迪·泽勒,C,2,1,79,88,70,46,76,60,37,78,84,53,41,66,68,75,75,76,84,85,55,75,0,cody-zeller
PJ·华盛顿,PF,4,1,80,81,75,82,78,62,52,52,75,61,53,80,74,65,80,76,79,85,40,60,0,pj-washington
拉梅洛·鲍尔,PG,4,1,85,76,80,82,81,45,75,52,74,86,86,52,89,45,65,79,82,95,70,84,0,lamelo-ball
德文特·格雷厄姆,PG,5,2,78,50,87,79,78,30,70,34,45,81,43,25,82,25,60,77,83,80,55,70,0,devonte-graham
迈尔斯·布里奇斯,SF,4,2,75,77,70,82,93,60,59,50,70,65,41,67,79,60,91,79,85,75,45,70,0,miles-bridges
俾斯麦·比永博,C,2,2,75,69,62,25,47,82,50,71,73,39,31,85,60,85,68,71,83,65,65,69,0,bismack-biyombo
马利克·蒙克,SG,4,2,79,84,80,88,78,45,68,33,57,69,32,35,79,40,80,77,80,85,45,55,0,malik-monk
杰伦·麦克丹尼尔斯,PF,4,2,70,74,70,74,74,59,55,42,76,52,31,60,67,60,65,68,80,30,35,55,0,jalen-mcdaniels
小弗农·凯里,PF,3,3,70,79,71,63,67,66,36,74,77,44,39,69,57,80,70,71,85,50,45,72,0,vernon-carey
格兰特·里勒,PG,1,3,69,76,73,75,81,33,51,37,39,76,42,30,76,30,50,75,81,60,30,50,0,grant-riller
凯莱布·马丁,SG,4,3,74,72,74,72,54,52,60,51,62,56,80,57,82,25,70,67,80,80,35,65,0,caleb-martin
科迪·马丁,SF,4,3,74,74,69,63,65,48,62,62,62,62,66,35,82,25,75,68,80,75,35,65,0,cody-martin
