西部排名
1 湖人: 64-18  胜率78.05%
2 爵士: 59-23  胜率71.95%
3 快船: 57-25  胜率69.51%
4 勇士: 57-25  胜率69.51%
5 独行侠: 51-31  胜率62.20%
6 掘金: 41-41  胜率50.00%
7 火箭: 40-42  胜率48.78%
8 太阳: 38-44  胜率46.34%
9 开拓者: 38-44  胜率46.34%
10 森林狼: 33-49  胜率40.24%
11 灰熊: 33-49  胜率40.24%
12 鹈鹕: 31-51  胜率37.80%
13 雷霆: 28-54  胜率34.15%
14 马刺: 25-57  胜率30.49%
15 国王: 19-63  胜率23.17%

东部排名
1 篮网: 71-11  胜率86.59%
2 凯尔特人: 65-17  胜率79.27%
3 雄鹿: 62-20  胜率75.61%
4 76人: 55-27  胜率67.07%
5 热火: 53-29  胜率64.63%
6 猛龙: 51-31  胜率62.20%
7 魔术: 35-47  胜率42.68%
8 步行者: 34-48  胜率41.46%
9 奇才: 33-49  胜率40.24%
10 老鹰: 30-52  胜率36.59%
11 公牛: 29-53  胜率35.37%
12 黄蜂: 28-54  胜率34.15%
13 骑士: 25-57  胜率30.49%
14 尼克斯: 24-58  胜率29.27%
15 活塞: 21-61  胜率25.61%
